rank_revised,rank_prior,rank_change_vs_prior,bucket,company,ticker,listing,domicile,region,layer,thesis_key,summary,tier,residual_alpha_score,residual_upside_score,residual_upside_label,crowding_penalty_score,bottleneck_closeness_score,focus_bonus_score,ai_n,bottleneck_n,centrality_n,hidden_n,catalyst_n,alpha_revision_note,trace,evidence_grade,tags,region_bucket,latest_price,latest_currency,market_cap_usd_b,ytd_return_pct,market_data_as_of,market_data_source,base_residual_alpha_score,price_rerating_penalty_score,ai2027_price_adjusted_score,ai2027_trend_bonus_score,ai2027_trend_tags,ai2027_trend_note
38,20,-18,Secondary residual alpha,ASE Technology,3711,TWSE: 3711,Taiwan,Non-US,Advanced packaging / test,Packaging and test leverage for AI silicon,"Packaging and test leverage for AI silicon; AI-adjacent, central-node.",Tier B,41.7,3,balanced,3,3,3.5,0.8,0.6,0.8,0.6,0.6,"On a residual-alpha lens the strong May print (ATM +37.9% YoY) was instantly consumed by a +5.4% same-day repricing on top of a 120% YTD run; the name is now a consensus Strong Buy with valuation flags, so unpriced asymmetry shrank even as fundamentals confirmed.",0.4,C+,"AI-adjacent, central-node",Non-US,662.0,TWD,93.46,156.59,2026-06-23,https://finance.yahoo.com/quote/3711.TW/,55.7,5.3,50.4,-8.7,packaging_memory_test,AI 2027/current overlay: packaging_memory_test; bonus -8.7 after cap/YTD discipline.
39,28,-11,Monitor / benchmark,HD Hyundai Electric,267260,KRX: 267260,South Korea,Non-US,Transformers / switchgear,Grid bottleneck transformer exposure,"Grid bottleneck transformer exposure; bottleneck, AI-adjacent, underfollowed, central-node.",Tier C,41.4,2,partially rerated,4,2,1.5,0.8,1.0,0.8,0.8,0.6,"Useful AI exposure, but farther from the passive/power bottleneck stack.",0.4,C+,"bottleneck, AI-adjacent, underfollowed, central-node",Non-US,949000.0,KRW,26.03,15.87,2026-06-23,https://finance.yahoo.com/quote/267260.KS/,31.4,0.0,31.4,10.0,"compute_factory,physical_ai,power_grid","AI 2027/current overlay: compute_factory,physical_ai,power_grid; bonus +10.0 after cap/YTD discipline."
40,13,-27,Secondary residual alpha,Analog Devices,ADI,NASDAQ: ADI,United States,US,Analog / monitoring,Power monitoring and signal-chain leverage,"Power monitoring and signal-chain leverage; AI-adjacent, central-node.",Tier B,40.0,2,partially rerated,4,4,3.5,0.8,0.6,0.8,0.4,0.6,"Balanced AI supply-chain exposure, but not as mispriced as the top residual-alpha names.",0.4,C+,"AI-adjacent, central-node",US,408.275,USD,199.52,49.15,2026-06-23,https://finance.yahoo.com/quote/ADI/,37.0,0.0,37.0,3.0,power_grid,AI 2027/current overlay: power_grid; bonus +3.0 after cap/YTD discipline.
41,17,-24,Secondary residual alpha,Hubbell,HUBB,NYSE: HUBB,United States,US,Power infrastructure,Electrical distribution bottleneck exposure,"Electrical distribution bottleneck exposure; tight-supply, AI-adjacent, central-node.",Tier B,37.9,2,partially rerated,4,2,1.5,0.8,0.8,0.8,0.6,0.6,"Useful AI exposure, but farther from the passive/power bottleneck stack.",0.4,C+,"tight-supply, AI-adjacent, central-node",US,520.335,USD,27.45,12.38,2026-06-23,https://finance.yahoo.com/quote/HUBB/,32.4,0.0,32.4,5.5,power_grid,AI 2027/current overlay: power_grid; bonus +5.5 after cap/YTD discipline.
42,15,-27,Crowded / rerated benchmark,Monolithic Power Systems,MPWR,NASDAQ: MPWR,United States,US,Power semis,High-current power management around accelerators,"High-current power management around accelerators; bottleneck, direct-AI, 2026-catalyst, hard-to-substitute.",Tier B,37.8,1,already rerated,5,4,3.5,1.0,1.0,1.0,0.6,0.8,"On a residual-alpha list, a fresh fiduciary-duty investigation plus ~$380M of insider selling at peak valuation is new negative evidence layered on an already 'crowded/rerated benchmark' name; today's -4.6% is governance-driven, not a thesis-intact flush that improves asymmetry.",0.7,A-,"bottleneck, direct-AI, 2026-catalyst, hard-to-substitute",US,1414.74,USD,75.56,51.1,2026-06-23,https://finance.yahoo.com/quote/MPWR/,31.5,0.0,31.5,6.3,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus +6.3 after cap/YTD discipline."
43,29,-14,Monitor / benchmark,Hyosung Heavy Industries,298040,KRX: 298040,South Korea,Non-US,Transformers / switchgear,Transformer and grid equipment leverage,"Transformer and grid equipment leverage; bottleneck, AI-adjacent, underfollowed, central-node.",Tier C,37.6,2,partially rerated,4,2,1.5,0.8,1.0,0.8,0.8,0.6,"On a crowding-sensitive alpha list, an 8.5% flow-driven single-day pop on top of +88% YTD with zero new fundamental evidence since June 6 erodes residual alpha; the name is now Korea's most expensive stock with consensus target hikes chasing it, the opposite of hidden/under-owned.",0.4,C+,"bottleneck, AI-adjacent, underfollowed, central-node",Non-US,3616000.0,KRW,24.99,95.99,2026-06-23,https://finance.yahoo.com/quote/298040.KS/,30.7,1.4,29.3,8.3,"compute_factory,physical_ai,power_grid","AI 2027/current overlay: compute_factory,physical_ai,power_grid; bonus +8.3 after cap/YTD discipline."
44,14,-30,Crowded / rerated benchmark,Vishay Precision Group,VPG,NYSE: VPG,United States,US,Current sensing,Precision measurement and current-sense leverage,"Precision measurement and current-sense leverage; tight-supply, AI-adjacent, hidden-gem, hard-to-substitute.",Tier A,36.4,2,partially rerated,4,5,5.0,0.8,0.8,1.0,1.0,0.6,"Strategically important, but the stock already rerated; no longer top residual alpha.",0.8,A-,"tight-supply, AI-adjacent, hidden-gem, hard-to-substitute",US,135.47,USD,1.80,244.88,2026-06-23,https://finance.yahoo.com/quote/VPG/,57.1,9.7,47.4,-11.0,,AI 2027/current overlay: no direct factor; bonus -11.0 after cap/YTD discipline.
45,18,-27,Secondary residual alpha,ON Semiconductor,ON,NASDAQ: ON,United States,US,Power semis,Broad power semiconductor leverage,"Broad power semiconductor leverage; tight-supply, central-node.",Tier B,35.9,2,partially rerated,4,4,3.5,0.6,0.8,0.8,0.4,0.6,"On a residual-alpha page, a -6.3% flow-driven flush paired with genuinely new power-bottleneck evidence (NVIDIA 800VDC collaboration, GaNEXUS launch) improves asymmetry versus rank-37 peers that only de-rated.",0.4,C+,"tight-supply, central-node",US,118.42,USD,46.13,108.85,2026-06-23,https://finance.yahoo.com/quote/ON/,41.9,2.3,39.6,-3.7,power_grid,AI 2027/current overlay: power_grid; bonus -3.7 after cap/YTD discipline.
46,19,-27,Secondary residual alpha,Texas Instruments,TXN,NASDAQ: TXN,United States,US,Analog / power,Broad analog and power exposure,"Broad analog and power exposure; AI-adjacent, central-node.",Tier B,35.3,2,partially rerated,4,4,3.5,0.8,0.6,0.8,0.2,0.6,"Balanced AI supply-chain exposure, but not as mispriced as the top residual-alpha names.",0.4,C+,"AI-adjacent, central-node",US,303.83,USD,277.02,71.15,2026-06-23,https://finance.yahoo.com/quote/TXN/,34.3,0.0,34.3,1.0,power_grid,AI 2027/current overlay: power_grid; bonus +1.0 after cap/YTD discipline.
47,20,-27,Crowded / rerated benchmark,Modine,MOD,NYSE: MOD,United States,US,Thermal management,Thermal and cooling systems for high-density compute,"Thermal and cooling systems for high-density compute; tight-supply, AI-adjacent, underfollowed, 2026-catalyst, central-node.",Tier B,34.8,2,partially rerated,4,2,1.5,0.8,0.8,0.8,0.8,0.8,"Strategically important, but the stock already rerated; no longer top residual alpha.",0.5,B,"tight-supply, AI-adjacent, underfollowed, 2026-catalyst, central-node",US,281.435,USD,14.82,99.87,2026-06-23,https://finance.yahoo.com/quote/MOD/,36.0,1.7,34.3,0.5,power_grid,AI 2027/current overlay: power_grid; bonus +0.5 after cap/YTD discipline.
48,21,-27,Monitor / benchmark,Rambus,RMBS,NASDAQ: RMBS,United States,US,Memory interfaces,Memory interface leverage for AI systems,"Memory interface leverage for AI systems; AI-adjacent, central-node.",Tier C,34.3,2,partially rerated,4,2,0.0,0.8,0.6,0.8,0.6,0.6,"Residual-alpha-vs-passives lens: a -12% flow-driven flush with the HBM4E/memory-interface thesis intact further compresses YTD and unwinds the crowding that anchored prior holds. No RMBS-specific fundamental damage, so the de-rate is alpha-restorative, not thesis erosion. Extends prior 'up'.",0.4,C+,"AI-adjacent, central-node",US,129.725,USD,13.96,30.67,2026-06-23,https://finance.yahoo.com/quote/RMBS/,24.3,0.0,24.3,10.0,"packaging_memory_test,power_grid","AI 2027/current overlay: packaging_memory_test,power_grid; bonus +10.0 after cap/YTD discipline."
49,30,-19,Monitor / benchmark,LS ELECTRIC,010120,KRX: 010120,South Korea,Non-US,Switchgear / automation,Switchgear and electrical distribution exposure,"Switchgear and electrical distribution exposure; bottleneck, AI-adjacent, underfollowed, central-node.",Tier C,33.8,2,partially rerated,4,2,1.5,0.8,1.0,0.8,0.8,0.6,"Useful AI exposure, but farther from the passive/power bottleneck stack.",0.4,C+,"bottleneck, AI-adjacent, underfollowed, central-node",Non-US,232500.0,KRW,25.52,136.04,2026-06-23,https://finance.yahoo.com/quote/010120.KS/,32.6,4.1,28.5,5.3,"compute_factory,physical_ai,power_grid","AI 2027/current overlay: compute_factory,physical_ai,power_grid; bonus +5.3 after cap/YTD discipline."
50,16,-34,Crowded / rerated benchmark,Powell Industries,POWL,NASDAQ: POWL,United States,US,Switchgear,Switchgear and power distribution for AI buildouts,"Switchgear and power distribution for AI buildouts; bottleneck, AI-adjacent, underfollowed, central-node.",Tier B,33.5,2,partially rerated,4,2,1.5,0.8,1.0,0.8,0.8,0.6,"Strategically important, but the stock already rerated; no longer top residual alpha.",0.4,C+,"bottleneck, AI-adjacent, underfollowed, central-node",US,301.11,USD,11.21,156.25,2026-06-23,https://finance.yahoo.com/quote/POWL/,37.5,5.3,32.2,1.3,"compute_factory,physical_ai,power_grid","AI 2027/current overlay: compute_factory,physical_ai,power_grid; bonus +1.3 after cap/YTD discipline."
51,23,-28,Secondary residual alpha,Carrier Global,CARR,NYSE: CARR,United States,US,Cooling / HVAC,Cooling and thermal management leverage,"Cooling and thermal management leverage; tight-supply, AI-adjacent, central-node.",Tier B,32.1,2,partially rerated,4,2,1.5,0.8,0.8,0.8,0.4,0.6,"On a crowding-sensitive residual-alpha list, a +4.7% pop on conference talk with zero new fundamental evidence, stacked on +31.8% YTD, consumes residual alpha rather than creating it; the name is already flagged as farther from the passive/power bottleneck stack.",0.3,C,"tight-supply, AI-adjacent, central-node",US,70.9,USD,58.84,32.47,2026-06-23,https://finance.yahoo.com/quote/CARR/,27.8,0.0,27.8,4.3,power_grid,AI 2027/current overlay: power_grid; bonus +4.3 after cap/YTD discipline.
52,32,-20,Monitor / benchmark,NKT,NKT,CPH: NKT,Denmark,Non-US,Cabling,Underfollowed high-voltage cable exposure,"Underfollowed high-voltage cable exposure; bottleneck, underfollowed, central-node.",Tier C,30.5,2,partially rerated,4,2,0.0,0.6,1.0,0.8,0.8,0.6,"Useful AI exposure, but farther from the passive/power bottleneck stack.",0.3,C,"bottleneck, underfollowed, central-node",Non-US,1013.0,DKK,8.65,22.94,2026-06-23,https://finance.yahoo.com/quote/NKT.CO/,24.5,0.0,24.5,6.0,power_grid,AI 2027/current overlay: power_grid; bonus +6.0 after cap/YTD discipline.
53,31,-22,Secondary residual alpha,ROHM,6963,TSE: 6963,Japan,Non-US,Resistors / power semis,Current sense and resistor exposure,"Current sense and resistor exposure; tight-supply, AI-adjacent, central-node.",Tier B,30.5,2,partially rerated,4,4,3.5,0.8,0.8,0.8,0.6,0.6,"On a residual-alpha, crowding-sensitive list, a headline Goldman upgrade (PT to JPY 6,500) plus an 8.9% follow-through day on top of +130% YTD is a recognition event that consumes the remaining mispricing; no new passives/resistor-specific evidence arrived.",1.0,A,"tight-supply, AI-adjacent, central-node",Non-US,5444.0,JPY,13.60,139.03,2026-06-23,https://finance.yahoo.com/quote/6963.T/,37.3,4.3,33.0,-2.5,power_grid,AI 2027/current overlay: power_grid; bonus -2.5 after cap/YTD discipline.
54,33,-21,Monitor / benchmark,ABB,ABBN,SWX: ABBN,Switzerland,Non-US,Electrification,Grid and electrification bottleneck exposure,"Grid and electrification bottleneck exposure; bottleneck, AI-adjacent, central-node.",Tier C,30.4,2,partially rerated,4,2,1.5,0.8,1.0,0.8,0.4,0.6,"Useful AI exposure, but farther from the passive/power bottleneck stack.",0.4,C+,"bottleneck, AI-adjacent, central-node",Non-US,86.1,CHF,198.36,40.59,2026-06-23,https://finance.yahoo.com/quote/ABBN.SW/,27.4,0.0,27.4,3.0,power_grid,AI 2027/current overlay: power_grid; bonus +3.0 after cap/YTD discipline.
55,24,-31,Monitor / benchmark,Advanced Energy Industries,AEIS,NASDAQ: AEIS,United States,US,Power conversion,Advanced power conversion and control leverage,"Advanced power conversion and control leverage; tight-supply, AI-adjacent, hard-to-substitute.",Tier C,30.3,1,already rerated,5,4,3.5,0.8,0.8,1.0,0.6,0.6,"Balanced AI supply-chain exposure, but not as mispriced as the top residual-alpha names.",0.6,B+,"tight-supply, AI-adjacent, hard-to-substitute",US,366.535,USD,14.70,65.11,2026-06-23,https://finance.yahoo.com/quote/AEIS/,26.8,0.0,26.8,3.5,power_grid,AI 2027/current overlay: power_grid; bonus +3.5 after cap/YTD discipline.
56,30,-26,Monitor / benchmark,Cummins,CMI,NYSE: CMI,United States,US,Power generation,Backup and onsite power for constrained builds,"Backup and onsite power for constrained builds; tight-supply, AI-adjacent, central-node.",Tier C,30.0,2,partially rerated,4,2,0.0,0.8,0.8,0.8,0.4,0.6,"Residual-alpha vs passives: a concrete 2 GW AI data-center gas-gen order (Circe), raised 2026 and 2030 guidance, and a dedicated 4 MW data-center engine pull Cummins meaningfully closer to the power-bottleneck core this page rewards - more than 'Monitor/benchmark' implies. Genuine fundamental step-u",0.3,C,"tight-supply, AI-adjacent, central-node",US,707.95,USD,97.85,35.61,2026-06-23,https://finance.yahoo.com/quote/CMI/,25.7,0.0,25.7,4.3,power_grid,AI 2027/current overlay: power_grid; bonus +4.3 after cap/YTD discipline.
57,25,-32,Monitor / benchmark,Lumentum,LITE,NASDAQ: LITE,United States,US,Optics / photonics,AI networking optics and datacom leverage,"AI networking optics and datacom leverage; direct-AI, underfollowed, 2026-catalyst, central-node.",Tier C,30.0,2,partially rerated,4,2,0.0,1.0,0.6,0.8,0.8,0.8,"Useful AI exposure, but farther from the passive/power bottleneck stack.",0.5,B,"direct-AI, underfollowed, 2026-catalyst, central-node",US,831.16,USD,64.75,115.27,2026-06-23,https://finance.yahoo.com/quote/LITE/,27.9,2.7,25.2,4.8,"compute_factory,packaging_memory_test,power_grid","AI 2027/current overlay: compute_factory,packaging_memory_test,power_grid; bonus +4.8 after cap/YTD discipline."
58,29,-29,Monitor / benchmark,Pure Storage,PSTG,NYSE: PSTG,United States,US,Storage,AI storage and data path leverage,"AI storage and data path leverage; AI-adjacent, 2026-catalyst.",Tier C,29.2,2,partially rerated,4,2,0.0,0.8,0.6,0.6,0.6,0.8,"Hyperscaler DirectFlash plan beaten, FY26 guide raised and FY27 hyperscaler investment signaled - the AI storage/data-path thesis is now validated, not speculative. With negative YTD, asymmetry on this crowding-sensitive list improves. Still farther from the passive/power core the page favors.",0.4,C+,"AI-adjacent, 2026-catalyst",US,67.8,USD,23.97,-1.75,2026-06-09,https://finance.yahoo.com/quote/PSTG/,22.9,0.0,22.9,6.3,power_grid,AI 2027/current overlay: power_grid; bonus +6.3 after cap/YTD discipline.
59,27,-32,Secondary residual alpha,Navitas Semiconductor,NVTS,NASDAQ: NVTS,United States,US,Power semis,GaN/SiC power exposure,"GaN/SiC power exposure; tight-supply, underfollowed.",Tier B,29.0,2,partially rerated,4,4,3.5,0.6,0.8,0.6,0.8,0.6,"Balanced AI supply-chain exposure, but not as mispriced as the top residual-alpha names.",0.4,C+,"tight-supply, underfollowed",US,21.61,USD,5.85,157.88,2026-06-23,https://finance.yahoo.com/quote/NVTS/,40.4,5.4,35.0,-6.0,power_grid,AI 2027/current overlay: power_grid; bonus -6.0 after cap/YTD discipline.
60,34,-26,Monitor / benchmark,Nexans,NEX,EPA: NEX,France,Non-US,Cabling,Grid and data-center power cabling leverage,"Grid and data-center power cabling leverage; bottleneck, central-node.",Tier C,28.2,2,partially rerated,4,2,0.0,0.6,1.0,0.8,0.6,0.6,"Useful AI exposure, but farther from the passive/power bottleneck stack.",0.3,C,"bottleneck, central-node",Non-US,151.2,EUR,7.92,17.85,2026-06-23,https://finance.yahoo.com/quote/NEX.PA/,22.2,0.0,22.2,6.0,power_grid,AI 2027/current overlay: power_grid; bonus +6.0 after cap/YTD discipline.
61,35,-26,Monitor / benchmark,Fabrinet,FN,NYSE: FN,Cayman Islands / Thailand,Non-US,Optics manufacturing,Optics manufacturing leverage for AI networking,"Optics manufacturing leverage for AI networking; AI-adjacent, 2026-catalyst, central-node.",Tier D,27.8,2,partially rerated,4,2,0.0,0.8,0.6,0.8,0.6,0.8,"An -8.9% flow-driven flush with the 1.6T/Blackwell manufacturing thesis intact improves asymmetry on an alpha list that penalizes post-rerating chase; YTD is now a modest +18.6%, so the prior crowding discount is partly worked off. FN stays peripheral to the core passive/power bottleneck stack, so t",0.4,C+,"AI-adjacent, 2026-catalyst, central-node",Non-US,583.62,USD,22.11,21.73,2026-06-23,https://finance.yahoo.com/quote/FN/,18.3,0.0,18.3,9.5,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus +9.5 after cap/YTD discipline."
62,37,-25,Crowded / rerated benchmark,Delta Electronics,2308,TWSE: 2308,Taiwan,Non-US,Power delivery / racks,AI server power shelves and Rubin-era rack power,"AI server power shelves and Rubin-era rack power; bottleneck, direct-AI, underfollowed, near-term-catalyst, hard-to-substitute.",Tier C,27.8,1,already rerated,5,4,3.5,1.0,1.0,1.0,0.8,1.0,"On a crowding-sensitive alpha list, a +7.1% single-day pop on a widely watched monthly revenue print extends the rerating without revealing anything hidden; at +142.7% YTD and ~$199B cap, residual under-owned upside shrinks further even though the news is fundamentally good.",0.7,A-,"bottleneck, direct-AI, underfollowed, near-term-catalyst, hard-to-substitute",Non-US,2080.0,TWD,198.23,109.05,2026-06-23,https://finance.yahoo.com/quote/2308.TW/,31.1,2.3,28.8,-1.0,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus -1.0 after cap/YTD discipline."
63,28,-35,Monitor / benchmark,MACOM Technology Solutions,MTSI,NASDAQ: MTSI,United States,US,Networking analog / optical,High-speed interconnect and optical components,"High-speed interconnect and optical components; AI-adjacent, underfollowed, central-node.",Tier C,27.4,2,partially rerated,4,2,0.0,0.8,0.6,0.8,0.8,0.6,"Useful AI exposure, but farther from the passive/power bottleneck stack.",0.4,C+,"AI-adjacent, underfollowed, central-node",US,371.75,USD,28.43,112.48,2026-06-23,https://finance.yahoo.com/quote/MTSI/,23.9,2.5,21.4,6.0,"compute_factory,packaging_memory_test,power_grid","AI 2027/current overlay: compute_factory,packaging_memory_test,power_grid; bonus +6.0 after cap/YTD discipline."
64,36,-28,Monitor / benchmark,Prysmian,PRY,BIT: PRY,Italy,Non-US,Cabling,Grid and interconnect cabling for power bottlenecks,"Grid and interconnect cabling for power bottlenecks; bottleneck, central-node.",Tier D,26.8,2,partially rerated,4,2,0.0,0.6,1.0,0.8,0.4,0.6,"Useful AI exposure, but farther from the passive/power bottleneck stack.",0.3,C,"bottleneck, central-node",Non-US,148.35,EUR,51.46,65.05,2026-06-23,https://finance.yahoo.com/quote/PRY.MI/,20.5,0.0,20.5,6.3,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus +6.3 after cap/YTD discipline."
65,22,-43,Crowded / rerated benchmark,Vicor,VICR,NASDAQ: VICR,United States,US,Power delivery,48V-to-point-of-load power delivery for AI accelerators,"48V-to-point-of-load power delivery for AI accelerators; bottleneck, direct-AI, underfollowed, 2026-catalyst, hard-to-substitute.",Tier B,26.3,1,already rerated,5,4,3.5,1.0,1.0,1.0,0.8,0.8,"Strategically important, but the stock already rerated; no longer top residual alpha.",0.7,A-,"bottleneck, direct-AI, underfollowed, 2026-catalyst, hard-to-substitute",US,340.5,USD,15.61,191.37,2026-06-23,https://finance.yahoo.com/quote/VICR/,35.9,7.1,28.8,-2.5,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus -2.5 after cap/YTD discipline."
66,26,-40,Secondary residual alpha,Corning,GLW,NYSE: GLW,United States,US,Fiber / materials,"Fiber, glass and interconnect materials","Fiber, glass and interconnect materials; AI-adjacent.",Tier B,25.9,2,partially rerated,4,3,3.5,0.8,0.6,0.6,0.4,0.6,"Genuinely new evidence since Jun 6 (third hyperscaler megadeal, Amazon) plus a -9.35% flow-driven flush with the thesis intact improves residual asymmetry at an already crowding-discounted rank 49; the ~17% give-back from recent highs de-crowds the trade somewhat.",0.3,C,AI-adjacent,US,193.76,USD,165.84,113.7,2026-06-23,https://finance.yahoo.com/quote/GLW/,35.0,2.6,32.4,-6.5,compute_factory,AI 2027/current overlay: compute_factory; bonus -6.5 after cap/YTD discipline.
67,25,-42,Crowded / rerated benchmark,Wiwynn,6669,TWSE: 6669,Taiwan,Non-US,ODM / racks,Direct NVIDIA Rubin AI infrastructure exposure,"Direct NVIDIA Rubin AI infrastructure exposure; tight-supply, direct-AI, underfollowed, near-term-catalyst, central-node.",Tier B,22.6,2,partially rerated,4,3,3.5,1.0,0.8,0.8,0.8,1.0,"Strategically important, but the stock already rerated; no longer top residual alpha.",0.7,A-,"tight-supply, direct-AI, underfollowed, near-term-catalyst, central-node",Non-US,4675.0,TWD,85.53,213.06,2026-06-23,https://finance.yahoo.com/quote/6669.TW/,44.0,8.2,35.8,-13.2,,AI 2027/current overlay: no direct factor; bonus -13.2 after cap/YTD discipline.
68,33,-35,Monitor / benchmark,Caterpillar,CAT,NYSE: CAT,United States,US,Power generation,Gensets and power equipment for data-center deployment,"Gensets and power equipment for data-center deployment; tight-supply, AI-adjacent, central-node.",Tier C,22.3,2,partially rerated,4,2,0.0,0.8,0.8,0.8,0.2,0.6,"Useful AI exposure, but farther from the passive/power bottleneck stack.",0.3,C,"tight-supply, AI-adjacent, central-node",US,991.715,USD,457.37,65.73,2026-06-23,https://finance.yahoo.com/quote/CAT/,21.3,0.0,21.3,1.0,power_grid,AI 2027/current overlay: power_grid; bonus +1.0 after cap/YTD discipline.
69,32,-37,Monitor / benchmark,Ciena,CIEN,NYSE: CIEN,United States,US,Transport networking,Optical transport and backbone,Optical transport and backbone; .,Tier C,22.0,2,partially rerated,4,2,0.0,0.6,0.4,0.6,0.6,0.6,"On a crowding-sensitive alpha list, a flow-driven -8.3% flush on top of a ~31% post-earnings derating - while the fundamentals actually improved (record $7.7B backlog, raised FY guide) - restores some asymmetry that yesterday's hold lacked. Move is modest because Ciena remains peripheral to the pass",0.3,C,,US,456.42,USD,64.57,85.49,2026-06-23,https://finance.yahoo.com/quote/CIEN/,14.9,0.7,14.2,7.8,"compute_factory,packaging_memory_test,power_grid","AI 2027/current overlay: compute_factory,packaging_memory_test,power_grid; bonus +7.8 after cap/YTD discipline."
70,35,-35,Monitor / benchmark,Generac,GNRC,NYSE: GNRC,United States,US,Backup power,Power resilience and backup power,"Power resilience and backup power; tight-supply, underfollowed.",Tier C,19.8,2,partially rerated,4,1,0.0,0.6,0.8,0.6,0.8,0.6,"Useful AI exposure, but farther from the passive/power bottleneck stack.",0.3,C,"tight-supply, underfollowed",US,278.83,USD,16.41,97.61,2026-06-23,https://finance.yahoo.com/quote/GNRC/,20.8,1.5,19.3,0.5,power_grid,AI 2027/current overlay: power_grid; bonus +0.5 after cap/YTD discipline.
71,31,-40,Crowded / rerated benchmark,TTM Technologies,TTMI,NASDAQ: TTMI,United States,US,PCB / backplane,Complex PCBs and backplanes for AI servers and networking,"Complex PCBs and backplanes for AI servers and networking; tight-supply, direct-AI, underfollowed, 2026-catalyst, hard-to-substitute.",Tier B,19.7,1,already rerated,5,3,3.5,1.0,0.8,1.0,0.8,0.8,"Strategically important, but the stock already rerated; no longer top residual alpha.",0.7,A-,"tight-supply, direct-AI, underfollowed, 2026-catalyst, hard-to-substitute",US,212.93,USD,21.84,201.56,2026-06-23,https://finance.yahoo.com/quote/TTMI/,30.8,7.6,23.2,-3.5,"compute_factory,packaging_memory_test","AI 2027/current overlay: compute_factory,packaging_memory_test; bonus -3.5 after cap/YTD discipline."
72,34,-38,Crowded / rerated benchmark,Vertiv,VRT,NYSE: VRT,United States,US,Facility power / cooling,Liquid cooling and power infrastructure for AI factories,"Liquid cooling and power infrastructure for AI factories; bottleneck, direct-AI, 2026-catalyst, hard-to-substitute.",Tier C,18.3,1,already rerated,5,2,1.5,1.0,1.0,1.0,0.4,0.8,"On this crowding-sensitive alpha list, a -5.3% day inside a ~12% weekly washout with the bottleneck thesis fully intact (analysts raising targets into the drop, FY26 guidance unchanged) modestly improves residual asymmetry by flushing momentum money. It does not de-crowd a $115B name up 62% YTD, so ",0.7,A-,"bottleneck, direct-AI, 2026-catalyst, hard-to-substitute",US,323.17,USD,125.17,84.03,2026-06-23,https://finance.yahoo.com/quote/VRT/,20.9,0.6,20.3,-2.0,power_grid,AI 2027/current overlay: power_grid; bonus -2.0 after cap/YTD discipline.
73,38,-35,Crowded / rerated benchmark,Murata Manufacturing,6981,TSE: 6981,Japan,Non-US,Passives,"MLCCs, inductors and filters for AI server power networks","MLCCs, inductors and filters for AI server power networks; bottleneck, direct-AI, 2026-catalyst, central-node.",Tier C,16.6,1,already rerated,5,5,5.0,1.0,1.0,0.8,0.4,0.8,"On a crowding-sensitive alpha list, an +11.3% single-day pop on zero new fundamentals erases the improved entry asymmetry that briefly existed after the June 5-8 selloff; the whipsaw itself is evidence of crowded, flow-dominated ownership at +191% YTD.",1.0,A,"bottleneck, direct-AI, 2026-catalyst, central-node",Non-US,11005.0,JPY,138.25,230.48,2026-06-23,https://finance.yahoo.com/quote/6981.T/,30.6,9.0,21.6,-5.0,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus -5.0 after cap/YTD discipline."
74,40,-34,Monitor / benchmark,TE Connectivity,TEL,NYSE/SWX: TEL,Switzerland,Non-US,Connectivity,High-reliability connectors and sensing,"High-reliability connectors and sensing; AI-adjacent, central-node.",Tier D,15.3,2,partially rerated,4,3,0.0,0.8,0.6,0.8,0.4,0.6,"Balanced AI supply-chain exposure, but not as mispriced as the top residual-alpha names.",0.4,C+,"AI-adjacent, central-node",Non-US,206.945,USD,59.84,-11.27,2026-06-23,https://finance.yahoo.com/quote/TEL/,15.7,0.0,15.7,-0.4,,AI 2027/current overlay: no direct factor; bonus -0.4 after cap/YTD discipline.
75,36,-39,Monitor / benchmark,Hewlett Packard Enterprise,HPE,NYSE: HPE,United States,US,Servers / networking,AI server and networking platform,AI server and networking platform; AI-adjacent.,Tier C,14.9,2,partially rerated,4,2,0.0,0.8,0.6,0.6,0.2,0.6,"Two-day, ~13% flow-driven dump (-27% from the June 2 high) with the fundamental thesis actually strengthened by the FQ2 guidance raise improves residual asymmetry versus yesterday's hold, which predated today's leg down. Still only a modest up: on a passives-alpha lens HPE remains a fully discovered",0.4,C+,AI-adjacent,US,49.615,USD,65.75,105.28,2026-06-23,https://finance.yahoo.com/quote/HPE/,16.6,2.0,14.6,0.3,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus +0.3 after cap/YTD discipline."
