company,ticker_display,yf_symbol,country,category,confidence,evidence,x_signal,position,risk,hormuz,ai_sensitivity,thesis,bear,drop,30d,90d,120d,180d,evidence_titles,evidence_urls,confidence_note,price,ret_90,vol_90,market_cap,category_label
Kingwong,603228.SS,603228.SS,China,substrate_pcb,A,['z_optical_pcb'],Named by Zephyr among the optical-transceiver PCB leaders.,AI-networking PCB supplier,8,6,7,"Kingwong is a AI-networking PCB supplier. The X thesis is that it benefits from richer GPU/ASIC module complexity and the need for more advanced substrate and PCB content, and named by zephyr among the optical-transceiver pcb leaders.","Bear case: Kingwong is vulnerable to customer concentration, execution mistakes, and technology handoffs between package formats. That matters because the current buildout has pulled forward a lot of expectations.","Drop thesis trigger: sell or de-risk if order pushouts, yield issues, or a shift away from the package architecture it is serving.",Moderately bullish,Moderately bullish,Moderately bullish,Neutral,Zephyr / Collyer Bridge APAC on optical-transceiver PCB suppliers,https://www.collyerbridge.com/post/apac-roundup-micron-mu-boe-000725-sz-sabic-2010-sr-foxconn-2317-tt-and-more,Direct in-range mention or direct quote-tweet recovery.,58.86000061035156,-0.2338930208568556,0.4754142817163969,58183053312.0,Substrate Pcb
AT&S,ATS.VI,ATS.VI,Austria,substrate_pcb,A,['z_optical_pcb'],Zephyr named AT&S as one of the main optical-transceiver PCB players.,European high-end substrate and PCB supplier,8,4,6,"AT&S is a European high-end substrate and PCB supplier. The X thesis is that it benefits from richer GPU/ASIC module complexity and the need for more advanced substrate and PCB content, and zephyr named at&s as one of the main optical-transceiver pcb players.","Bear case: AT&S is vulnerable to customer concentration, execution mistakes, and technology handoffs between package formats. That matters because the current buildout has pulled forward a lot of expectations.","Drop thesis trigger: sell or de-risk if order pushouts, yield issues, or a shift away from the package architecture it is serving.",Moderately bullish,Moderately bullish,Moderately bullish,Neutral,Zephyr / Collyer Bridge APAC on optical-transceiver PCB suppliers,https://www.collyerbridge.com/post/apac-roundup-micron-mu-boe-000725-sz-sabic-2010-sr-foxconn-2317-tt-and-more,Direct in-range mention or direct quote-tweet recovery.,64.0,0.9722649767421028,0.7599231574739792,2486400000.0,Substrate Pcb
BE Semiconductor,BESI.AS,BESI.AS,Netherlands,equipment,A,['j_hbm5_bonding'],Directly named by Jukan as part of the likely HBM5 hybrid-bonding toolset for SK hynix.,hybrid-bonding assembly tool leader,7,4,9,"BE Semiconductor is a hybrid-bonding assembly tool leader. The X thesis is that it wins if AI capex continues to pull forward tool demand in memory, hybrid bonding, inspection, and test, and directly named by jukan as part of the likely hbm5 hybrid-bonding toolset for sk hynix.",Bear case: BE Semiconductor loses momentum quickly if customers pause orders after the current buildout wave. That matters because the current buildout has pulled forward a lot of expectations.,Drop thesis trigger: sell or de-risk if wafer-fab-equipment digestion or a delayed transition to the next packaging/memory node.,Moderately bullish,Moderately bullish,Moderately bullish,Neutral,Jukan on SK hynix using BESI and AMAT for HBM5 hybrid bonding,https://x.com/jukan05/status/2041002619553149384,Direct in-range mention or direct quote-tweet recovery.,206.10000610351562,0.36399733804325973,0.6289247962418371,16229505024.0,Equipment
Global Unichip,3443.TW,3443.TW,Taiwan,compute_silicon,A,['j_cpu_bottleneck'],Named in Jukan's CPU/custom-silicon thread cluster as part of the broader ASIC bottleneck map.,ASIC design-service house tied to custom AI silicon,8,4,8,"Global Unichip is a ASIC design-service house tied to custom AI silicon. The X thesis is that it wins if AI training and inference budgets stay elevated and the architecture remains on the critical path, and named in jukan's cpu/custom-silicon thread cluster as part of the broader asic bottleneck map.","Bear case: Global Unichip gets hit if hyperscaler capex rotates away, export controls bite, or custom-silicon mix shifts against it. That matters because the current buildout has pulled forward a lot of expectations.","Drop thesis trigger: sell or de-risk if a product slip, weak attach rates, or a sustained capex digestion cycle.",Moderately bullish,Moderately bullish,Moderately bullish,Neutral,Jukan on the 2026 server-CPU bottleneck,https://x.com/jukan05/status/2011429601344678241,Direct in-range mention or direct quote-tweet recovery.,2510.0,0.23950617283950626,0.6830731074418782,355799203840.0,Compute Silicon
Broadcom,AVGO,AVGO,United States,compute_silicon,B,['j_custom_asic_quote'],Recovered through a public quote of Jukan's January custom-ASIC thread that discussed Broadcom's customer slate and TPU volumes.,custom-ASIC tollbooth,6,3,9,"Broadcom is a custom-ASIC tollbooth. The X thesis is that it wins if AI training and inference budgets stay elevated and the architecture remains on the critical path, and recovered through a public quote of jukan's january custom-asic thread that discussed broadcom's customer slate and tpu volumes.","Bear case: Broadcom gets hit if hyperscaler capex rotates away, export controls bite, or custom-silicon mix shifts against it. That matters because the current buildout has pulled forward a lot of expectations.","Drop thesis trigger: sell or de-risk if a product slip, weak attach rates, or a sustained capex digestion cycle.",Moderately bullish,Moderately bullish,Moderately bullish,Neutral,Public quote of Jukan's custom ASIC / TPU thread,https://x.com/muhzuhair/status/2032484686228361482,"Named in the same in-range tweet thread, attached note, or public quote of the thread.",357.2699890136719,0.04008730426105345,0.4262980617427964,1694246633472.0,Compute Silicon
Marvell,MRVL,MRVL,United States,compute_silicon,B,"['j_custom_asic_quote', 'trend_ai_models']",Included as the next-closest merchant custom-silicon/networking name in the same Jukan ASIC buildout context.,merchant custom-silicon and networking challenger,7,3,8,"Marvell is a merchant custom-silicon and networking challenger. The X thesis is that it wins if AI training and inference budgets stay elevated and the architecture remains on the critical path, and included as the next-closest merchant custom-silicon/networking name in the same jukan asic buildout context.","Bear case: Marvell gets hit if hyperscaler capex rotates away, export controls bite, or custom-silicon mix shifts against it. That matters because the current buildout has pulled forward a lot of expectations.","Drop thesis trigger: sell or de-risk if a product slip, weak attach rates, or a sustained capex digestion cycle.",Moderately bullish,Moderately bullish,Moderately bullish,Neutral,Public quote of Jukan's custom ASIC / TPU thread; SemiAnalysis on large-scale inference economics,https://x.com/muhzuhair/status/2032484686228361482; https://semianalysis.com/,"Named in the same in-range tweet thread, attached note, or public quote of the thread.",119.37000274658203,0.41032612957675796,0.6363943541903985,104357847040.0,Compute Silicon
MediaTek,2454.TW,2454.TW,Taiwan,compute_silicon,B,"['j_custom_asic_quote', 'j_cpu_bottleneck']",Same-thread Taiwan custom-silicon beneficiary rather than a fully recovered direct tweet text.,edge and custom-silicon beneficiary,6,4,6,"MediaTek is a edge and custom-silicon beneficiary. The X thesis is that it wins if AI training and inference budgets stay elevated and the architecture remains on the critical path, and same-thread taiwan custom-silicon beneficiary rather than a fully recovered direct tweet text.","Bear case: MediaTek gets hit if hyperscaler capex rotates away, export controls bite, or custom-silicon mix shifts against it. That matters because the current buildout has pulled forward a lot of expectations.","Drop thesis trigger: sell or de-risk if a product slip, weak attach rates, or a sustained capex digestion cycle.",Moderately bullish,Moderately bullish,Moderately bullish,Neutral,Public quote of Jukan's custom ASIC / TPU thread; Jukan on the 2026 server-CPU bottleneck,https://x.com/muhzuhair/status/2032484686228361482; https://x.com/jukan05/status/2011429601344678241,"Named in the same in-range tweet thread, attached note, or public quote of the thread.",1580.0,0.14492753623188404,0.5004337298945799,2513873666048.0,Compute Silicon
UMC,2303.TW,2303.TW,Taiwan,foundry_packaging,B,"['j_cpu_bottleneck', 'j_china_wafers']",Included as a first-order foundry beneficiary in the same mature-node / CPU bottleneck context Jukan was discussing.,mature-node foundry with AI-adjacent support demand,6,4,5,"UMC is a mature-node foundry with AI-adjacent support demand. The X thesis is that it captures the AI bottleneck because advanced-node logic and packaging capacity are still scarce, and included as a first-order foundry beneficiary in the same mature-node / cpu bottleneck context jukan was discussing.",Bear case: UMC gets hurt if CoWoS / hybrid-bonding utilization drops or if customer capex plans slip. That matters because the current buildout has pulled forward a lot of expectations.,Drop thesis trigger: sell or de-risk if a multi-quarter packaging digestion phase or geopolitical disruption to Asian manufacturing.,Moderately bullish,Bullish,Moderately bullish,Moderately bullish,Jukan on the 2026 server-CPU bottleneck; Jukan on China expanding advanced wafer output,https://x.com/jukan05/status/2011429601344678241; https://x.com/jukan05/status/2026474804380053579,"Named in the same in-range tweet thread, attached note, or public quote of the thread.",60.29999923706055,0.2145014578827471,0.6209639944052765,755289358336.0,Foundry Packaging
ASE Technology,3711.TW,3711.TW,Taiwan,foundry_packaging,B,"['j_onto', 'tsmc_official']",First-order OSAT beneficiary of the exact advanced-packaging bottleneck both accounts kept circling.,largest OSAT with AI-packaging exposure,6,4,8,"ASE Technology is a largest OSAT with AI-packaging exposure. The X thesis is that it captures the AI bottleneck because advanced-node logic and packaging capacity are still scarce, and first-order osat beneficiary of the exact advanced-packaging bottleneck both accounts kept circling.",Bear case: ASE Technology gets hurt if CoWoS / hybrid-bonding utilization drops or if customer capex plans slip. That matters because the current buildout has pulled forward a lot of expectations.,Drop thesis trigger: sell or de-risk if a multi-quarter packaging digestion phase or geopolitical disruption to Asian manufacturing.,Moderately bullish,Bullish,Moderately bullish,Moderately bullish,Jukan on Samsung validating Onto's hybrid-bonding inspection tools; TSMC Q4 2025 conference call,https://x.com/jukan05/status/2038929887386362165; https://investor.tsmc.com/english/quarterly-results/2025/q4,"Named in the same in-range tweet thread, attached note, or public quote of the thread.",383.0,0.6332622601279319,0.6268586974585014,1717295644672.0,Foundry Packaging
Amkor,AMKR,AMKR,United States,foundry_packaging,B,"['j_onto', 'tsmc_official']",First-order outsourced-packaging beneficiary tied to the same CoWoS / hybrid-bonding bottleneck thesis.,advanced-packaging outsourcing beneficiary,6,4,8,"Amkor is a advanced-packaging outsourcing beneficiary. The X thesis is that it captures the AI bottleneck because advanced-node logic and packaging capacity are still scarce, and first-order outsourced-packaging beneficiary tied to the same cowos / hybrid-bonding bottleneck thesis.",Bear case: Amkor gets hurt if CoWoS / hybrid-bonding utilization drops or if customer capex plans slip. That matters because the current buildout has pulled forward a lot of expectations.,Drop thesis trigger: sell or de-risk if a multi-quarter packaging digestion phase or geopolitical disruption to Asian manufacturing.,Moderately bullish,Bullish,Moderately bullish,Moderately bullish,Jukan on Samsung validating Onto's hybrid-bonding inspection tools; TSMC Q4 2025 conference call,https://x.com/jukan05/status/2038929887386362165; https://investor.tsmc.com/english/quarterly-results/2025/q4,"Named in the same in-range tweet thread, attached note, or public quote of the thread.",55.060001373291016,0.04438543434003139,0.7373225685301895,13644486656.0,Foundry Packaging
Ibiden,4062.T,4062.T,Japan,substrate_pcb,B,"['j_onto', 'tsmc_official']",ABF substrate beneficiary in the same AI module-complexity chain discussed by both accounts.,ABF substrate supplier to AI packages,6,4,7,"Ibiden is a ABF substrate supplier to AI packages. The X thesis is that it benefits from richer GPU/ASIC module complexity and the need for more advanced substrate and PCB content, and abf substrate beneficiary in the same ai module-complexity chain discussed by both accounts.","Bear case: Ibiden is vulnerable to customer concentration, execution mistakes, and technology handoffs between package formats. That matters because the current buildout has pulled forward a lot of expectations.","Drop thesis trigger: sell or de-risk if order pushouts, yield issues, or a shift away from the package architecture it is serving.",Moderately bullish,Bullish,Moderately bullish,Neutral,Jukan on Samsung validating Onto's hybrid-bonding inspection tools; TSMC Q4 2025 conference call,https://x.com/jukan05/status/2038929887386362165; https://investor.tsmc.com/english/quarterly-results/2025/q4,"Named in the same in-range tweet thread, attached note, or public quote of the thread.",9794.0,0.3682592903045543,0.8226178250440288,2739401916416.0,Substrate Pcb
Unimicron,3037.TW,3037.TW,Taiwan,substrate_pcb,B,"['z_optical_pcb', 'tsmc_official']",First-order ABF substrate expansion from the packaging node both accounts were effectively mapping.,AI package substrate supplier,7,5,7,"Unimicron is a AI package substrate supplier. The X thesis is that it benefits from richer GPU/ASIC module complexity and the need for more advanced substrate and PCB content, and first-order abf substrate expansion from the packaging node both accounts were effectively mapping.","Bear case: Unimicron is vulnerable to customer concentration, execution mistakes, and technology handoffs between package formats. That matters because the current buildout has pulled forward a lot of expectations.","Drop thesis trigger: sell or de-risk if order pushouts, yield issues, or a shift away from the package architecture it is serving.",Moderately bullish,Bullish,Moderately bullish,Neutral,Zephyr / Collyer Bridge APAC on optical-transceiver PCB suppliers; TSMC Q4 2025 conference call,https://www.collyerbridge.com/post/apac-roundup-micron-mu-boe-000725-sz-sabic-2010-sr-foxconn-2317-tt-and-more; https://investor.tsmc.com/english/quarterly-results/2025/q4,"Named in the same in-range tweet thread, attached note, or public quote of the thread.",620.0,1.8571428571428572,0.9157486977018566,984117673984.0,Substrate Pcb
Nan Ya PCB,8046.TW,8046.TW,Taiwan,substrate_pcb,B,"['z_optical_pcb', 'tsmc_official']","Same first-order substrate expansion as Unimicron, with more volatile execution.",AI substrate and PCB supplier,7,5,6,"Nan Ya PCB is a AI substrate and PCB supplier. The X thesis is that it benefits from richer GPU/ASIC module complexity and the need for more advanced substrate and PCB content, and same first-order substrate expansion as unimicron, with more volatile execution.","Bear case: Nan Ya PCB is vulnerable to customer concentration, execution mistakes, and technology handoffs between package formats. That matters because the current buildout has pulled forward a lot of expectations.","Drop thesis trigger: sell or de-risk if order pushouts, yield issues, or a shift away from the package architecture it is serving.",Moderately bullish,Bullish,Moderately bullish,Neutral,Zephyr / Collyer Bridge APAC on optical-transceiver PCB suppliers; TSMC Q4 2025 conference call,https://www.collyerbridge.com/post/apac-roundup-micron-mu-boe-000725-sz-sabic-2010-sr-foxconn-2317-tt-and-more; https://investor.tsmc.com/english/quarterly-results/2025/q4,"Named in the same in-range tweet thread, attached note, or public quote of the thread.",637.0,1.6652719665271967,0.8934146007007859,432284729344.0,Substrate Pcb
Shinko Electric,6967.T,6967.T,Japan,substrate_pcb,B,"['tsmc_official', 'j_onto']",First-order ABF and packaging expansion tied to the exact capacity bottlenecks discussed in the tweets.,Japanese substrate and packaging material supplier,6,4,6,"Shinko Electric is a Japanese substrate and packaging material supplier. The X thesis is that it benefits from richer GPU/ASIC module complexity and the need for more advanced substrate and PCB content, and first-order abf and packaging expansion tied to the exact capacity bottlenecks discussed in the tweets.","Bear case: Shinko Electric is vulnerable to customer concentration, execution mistakes, and technology handoffs between package formats. That matters because the current buildout has pulled forward a lot of expectations.","Drop thesis trigger: sell or de-risk if order pushouts, yield issues, or a shift away from the package architecture it is serving.",Moderately bullish,Bullish,Moderately bullish,Neutral,TSMC Q4 2025 conference call; Jukan on Samsung validating Onto's hybrid-bonding inspection tools,https://investor.tsmc.com/english/quarterly-results/2025/q4; https://x.com/jukan05/status/2038929887386362165,"Named in the same in-range tweet thread, attached note, or public quote of the thread.",,,,,Substrate Pcb
Tokyo Electron,8035.T,8035.T,Japan,equipment,B,"['j_china_wafers', 'tsmc_official']",First-order wafer-fab equipment beneficiary in the same advanced-wafer and packaging buildout threads.,broad semicap supplier to foundry and memory ramps,5,4,7,"Tokyo Electron is a broad semicap supplier to foundry and memory ramps. The X thesis is that it wins if AI capex continues to pull forward tool demand in memory, hybrid bonding, inspection, and test, and first-order wafer-fab equipment beneficiary in the same advanced-wafer and packaging buildout threads.",Bear case: Tokyo Electron loses momentum quickly if customers pause orders after the current buildout wave. That matters because the current buildout has pulled forward a lot of expectations.,Drop thesis trigger: sell or de-risk if wafer-fab-equipment digestion or a delayed transition to the next packaging/memory node.,Moderately bullish,Moderately bullish,Moderately bullish,Neutral,Jukan on China expanding advanced wafer output; TSMC Q4 2025 conference call,https://x.com/jukan05/status/2026474804380053579; https://investor.tsmc.com/english/quarterly-results/2025/q4,"Named in the same in-range tweet thread, attached note, or public quote of the thread.",42410.0,0.14838884375846195,0.5066528670028339,19273116286976.0,Equipment
Disco,6146.T,6146.T,Japan,equipment,B,"['j_hbm5_bonding', 'tsmc_official']",Back-end and advanced-packaging tool beneficiary of the same node transitions discussed by Jukan.,dicing and grinding tool leader,6,4,7,"Disco is a dicing and grinding tool leader. The X thesis is that it wins if AI capex continues to pull forward tool demand in memory, hybrid bonding, inspection, and test, and back-end and advanced-packaging tool beneficiary of the same node transitions discussed by jukan.",Bear case: Disco loses momentum quickly if customers pause orders after the current buildout wave. That matters because the current buildout has pulled forward a lot of expectations.,Drop thesis trigger: sell or de-risk if wafer-fab-equipment digestion or a delayed transition to the next packaging/memory node.,Moderately bullish,Moderately bullish,Moderately bullish,Neutral,Jukan on SK hynix using BESI and AMAT for HBM5 hybrid bonding; TSMC Q4 2025 conference call,https://x.com/jukan05/status/2041002619553149384; https://investor.tsmc.com/english/quarterly-results/2025/q4,"Named in the same in-range tweet thread, attached note, or public quote of the thread.",67450.0,0.3199608610567515,0.698998942297304,7004611936256.0,Equipment
Lasertec,6920.T,6920.T,Japan,equipment,B,"['tsmc_official', 'trend_ai_models']",Monopoly-like inspection exposure at the EUV / advanced-node edge of the same buildout.,EUV mask-inspection bottleneck name,7,4,7,"Lasertec is a EUV mask-inspection bottleneck name. The X thesis is that it wins if AI capex continues to pull forward tool demand in memory, hybrid bonding, inspection, and test, and monopoly-like inspection exposure at the euv / advanced-node edge of the same buildout.",Bear case: Lasertec loses momentum quickly if customers pause orders after the current buildout wave. That matters because the current buildout has pulled forward a lot of expectations.,Drop thesis trigger: sell or de-risk if wafer-fab-equipment digestion or a delayed transition to the next packaging/memory node.,Moderately bullish,Moderately bullish,Moderately bullish,Neutral,TSMC Q4 2025 conference call; SemiAnalysis on large-scale inference economics,https://investor.tsmc.com/english/quarterly-results/2025/q4; https://semianalysis.com/,"Named in the same in-range tweet thread, attached note, or public quote of the thread.",39940.0,0.25953957742037215,0.7274020290496619,3468706971648.0,Equipment
Advantest,6857.T,6857.T,Japan,equipment,B,"['j_hbm5_bonding', 'tsmc_official']",First-order test beneficiary as HBM and advanced packaging raise test intensity per module.,memory and AI test-equipment leader,6,4,8,"Advantest is a memory and AI test-equipment leader. The X thesis is that it wins if AI capex continues to pull forward tool demand in memory, hybrid bonding, inspection, and test, and first-order test beneficiary as hbm and advanced packaging raise test intensity per module.",Bear case: Advantest loses momentum quickly if customers pause orders after the current buildout wave. That matters because the current buildout has pulled forward a lot of expectations.,Drop thesis trigger: sell or de-risk if wafer-fab-equipment digestion or a delayed transition to the next packaging/memory node.,Moderately bullish,Moderately bullish,Moderately bullish,Neutral,Jukan on SK hynix using BESI and AMAT for HBM5 hybrid bonding; TSMC Q4 2025 conference call,https://x.com/jukan05/status/2041002619553149384; https://investor.tsmc.com/english/quarterly-results/2025/q4,"Named in the same in-range tweet thread, attached note, or public quote of the thread.",25220.0,0.19102715466351827,0.7527880020709389,18005157216256.0,Equipment
Hon Hai / Foxconn,2317.TW,2317.TW,Taiwan,systems_odm,C,"['j_cpu_bottleneck', 'j_samsung_lta', 'trend_ai_models']",Lower-confidence expansion: server and systems assembly sits directly downstream of the capex nodes Jukan and Zephyr were describing.,AI server and systems integrator,6,6,6,"Hon Hai / Foxconn is a AI server and systems integrator. The X thesis is that it benefits from the physical buildout of AI servers, racks, and systems integration, and lower-confidence expansion: server and systems assembly sits directly downstream of the capex nodes jukan and zephyr were describing.",Bear case: Hon Hai / Foxconn gets squeezed if box-level pricing compresses or customer order timing slips. That matters because the current buildout has pulled forward a lot of expectations.,"Drop thesis trigger: sell or de-risk if cloud digestion, inventory corrections, or tariffs that hit system assembly economics.",Moderately bullish,Moderately bullish,Moderately bullish,Neutral,Jukan on the 2026 server-CPU bottleneck; Jukan on Samsung memory LTAs with Google and Microsoft; SemiAnalysis on large-scale inference economics,https://x.com/jukan05/status/2011429601344678241; https://x.com/jukan05/status/2034824046987419851; https://semianalysis.com/,First-order supply-chain expansion from the exact tweet thesis; included to reach a 50-stock investor universe.,201.5,-0.1004464285714286,0.37837988274772644,2792547680256.0,Systems Odm
Quanta,2382.TW,2382.TW,Taiwan,systems_odm,C,"['j_cpu_bottleneck', 'j_samsung_lta', 'trend_ai_models']",Lower-confidence expansion: a direct box-level beneficiary if the AI system buildout keeps accelerating.,AI server ODM leader,6,6,6,"Quanta is a AI server ODM leader. The X thesis is that it benefits from the physical buildout of AI servers, racks, and systems integration, and lower-confidence expansion: a direct box-level beneficiary if the ai system buildout keeps accelerating.",Bear case: Quanta gets squeezed if box-level pricing compresses or customer order timing slips. That matters because the current buildout has pulled forward a lot of expectations.,"Drop thesis trigger: sell or de-risk if cloud digestion, inventory corrections, or tariffs that hit system assembly economics.",Moderately bullish,Moderately bullish,Moderately bullish,Neutral,Jukan on the 2026 server-CPU bottleneck; Jukan on Samsung memory LTAs with Google and Microsoft; SemiAnalysis on large-scale inference economics,https://x.com/jukan05/status/2011429601344678241; https://x.com/jukan05/status/2034824046987419851; https://semianalysis.com/,First-order supply-chain expansion from the exact tweet thesis; included to reach a 50-stock investor universe.,307.5,0.1647727272727273,0.33162869179443677,1206464282624.0,Systems Odm
Wiwynn,6669.TW,6669.TW,Taiwan,systems_odm,C,"['j_cpu_bottleneck', 'j_samsung_lta']",Lower-confidence expansion from the same rack/server demand wave.,hyperscale server ODM,7,6,6,"Wiwynn is a hyperscale server ODM. The X thesis is that it benefits from the physical buildout of AI servers, racks, and systems integration, and lower-confidence expansion from the same rack/server demand wave.",Bear case: Wiwynn gets squeezed if box-level pricing compresses or customer order timing slips. That matters because the current buildout has pulled forward a lot of expectations.,"Drop thesis trigger: sell or de-risk if cloud digestion, inventory corrections, or tariffs that hit system assembly economics.",Moderately bullish,Moderately bullish,Moderately bullish,Neutral,Jukan on the 2026 server-CPU bottleneck; Jukan on Samsung memory LTAs with Google and Microsoft,https://x.com/jukan05/status/2011429601344678241; https://x.com/jukan05/status/2034824046987419851,First-order supply-chain expansion from the exact tweet thesis; included to reach a 50-stock investor universe.,3570.0,-0.15801886792452835,0.5052827308423228,665310003200.0,Systems Odm
Wistron,3231.TW,3231.TW,Taiwan,systems_odm,C,"['j_cpu_bottleneck', 'j_samsung_lta']",Lower-confidence expansion into the system-buildout basket.,AI server manufacturing beneficiary,7,6,5,"Wistron is a AI server manufacturing beneficiary. The X thesis is that it benefits from the physical buildout of AI servers, racks, and systems integration, and lower-confidence expansion into the system-buildout basket.",Bear case: Wistron gets squeezed if box-level pricing compresses or customer order timing slips. That matters because the current buildout has pulled forward a lot of expectations.,"Drop thesis trigger: sell or de-risk if cloud digestion, inventory corrections, or tariffs that hit system assembly economics.",Moderately bullish,Moderately bullish,Moderately bullish,Neutral,Jukan on the 2026 server-CPU bottleneck; Jukan on Samsung memory LTAs with Google and Microsoft,https://x.com/jukan05/status/2011429601344678241; https://x.com/jukan05/status/2034824046987419851,First-order supply-chain expansion from the exact tweet thesis; included to reach a 50-stock investor universe.,131.0,-0.09965635738831613,0.35021285736676755,421404573696.0,Systems Odm
Celestica,CLS,CLS,Canada,systems_odm,C,"['z_lite_crdo', 'trend_ai_models']",Lower-confidence expansion: a North American systems and networking manufacturer aligned with the same cluster-buildout theme.,AI systems and networking manufacturing beneficiary,6,3,6,"Celestica is a AI systems and networking manufacturing beneficiary. The X thesis is that it benefits from the physical buildout of AI servers, racks, and systems integration, and lower-confidence expansion: a north american systems and networking manufacturer aligned with the same cluster-buildout theme.",Bear case: Celestica gets squeezed if box-level pricing compresses or customer order timing slips. That matters because the current buildout has pulled forward a lot of expectations.,"Drop thesis trigger: sell or de-risk if cloud digestion, inventory corrections, or tariffs that hit system assembly economics.",Moderately bullish,Moderately bullish,Moderately bullish,Neutral,Zephyr on Lumentum earnings and Credo/CPO risk; SemiAnalysis on large-scale inference economics,https://x.com/zephyr_z9/status/2019066607583084550; https://semianalysis.com/,First-order supply-chain expansion from the exact tweet thesis; included to reach a 50-stock investor universe.,325.57000732421875,0.06440648812082284,0.7526979905697583,37502672896.0,Systems Odm
