bundle,source_ticker,source_name,target_ticker,target_name,relationship_type,layer_or_item,evidence,strength,cash_flow,source_ids,source_urls,note
Broad semiconductor-alpha bundle,SIMO,Silicon Motion,MU,Micron Technology,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SIMO,Silicon Motion,NVDA,NVIDIA,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SIMO,Silicon Motion,POET,POET Technologies,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SIMO,Silicon Motion,000660.KS,SK hynix,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SIMO,Silicon Motion,005930.KS,Samsung Electronics,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SIMO,Silicon Motion,SIVE.ST,Sivers Semiconductors,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SIMO,Silicon Motion,SOI.PA,Soitec,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SIMO,Silicon Motion,TSM,Taiwan Semiconductor Manufacturing,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SIVE.ST,Sivers Semiconductors,ENA.V,Enablence Technologies,strategic partnership,DFB lasers + PLC couplers,DOCUMENTED,0.7,Potential laser array revenue plus partner PLC/coupler content.,,,Sivers March 2026 O-Net/Enablence PR.
Broad semiconductor-alpha bundle,SIVE.ST,Sivers Semiconductors,O-Net Communications,O-Net Communications,strategic partnership,DFB laser arrays -> ELS module ODM,DOCUMENTED,0.7,Potential laser array/module ODM volume if design enters production.,,,Sivers March 2026 O-Net/Enablence PR.
Broad semiconductor-alpha bundle,SIVE.ST,Sivers Semiconductors,POET,POET Technologies,strategic collaboration,DFB lasers -> optical interposer ELS,DOCUMENTED,0.7,"Engineering NRE/prototypes, future laser array shipments and production-module content if qualified.",,,Sivers and POET official March 2026 PRs.
Broad semiconductor-alpha bundle,SOI.PA,Soitec,GFS,GlobalFoundries,substrate supply,Materials -> specialty foundry,DOCUMENTED,0.7,Substrate sales to foundry; RF-SOI wafer volume/ASP.,,,Soitec-GlobalFoundries official collaboration PR.
Broad semiconductor-alpha bundle,SOI.PA,Soitec,TSM,Taiwan Semiconductor Manufacturing,qualified substrate ecosystem,Photonics-SOI -> SiPh foundry ecosystem,PUBLIC-THEME,0.7,Substrate qualification and volume ramp; customer identity often undisclosed.,,,Soitec Photonics-SOI official product page; specific customer contracts generally undisclosed.
