source,source_name,target,target_name,relationship,use,cash_flow,amount,evidence,confidence
3034.TW,Novatek Microelectronics,UMC,United Microelectronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,3034.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
3034.TW,Novatek Microelectronics,GFS,GlobalFoundries,uses foundry capacity,wafer fabrication / process nodes / specialty processes,3034.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
3034.TW,Novatek Microelectronics,TSEM,Tower Semiconductor,uses foundry capacity,wafer fabrication / process nodes / specialty processes,3034.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
3034.TW,Novatek Microelectronics,ASX,ASE Technology Holding,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",3034.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
3034.TW,Novatek Microelectronics,AMKR,Amkor Technology,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",3034.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
3034.TW,Novatek Microelectronics,BESI.AS,BE Semiconductor Industries,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",3034.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
3034.TW,Novatek Microelectronics,KLIC,Kulicke & Soffa,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",3034.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
3034.TW,Novatek Microelectronics,042700.KQ,Hanmi Semiconductor,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",3034.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
3034.TW,Novatek Microelectronics,ENTG,Entegris,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
3034.TW,Novatek Microelectronics,PLAB,Photronics,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
3034.TW,Novatek Microelectronics,6488.TWO,GlobalWafers,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
3034.TW,Novatek Microelectronics,3436.T,SUMCO,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
2379.TW,Realtek Semiconductor,TSM,Taiwan Semiconductor Manufacturing,uses foundry capacity,wafer fabrication / process nodes / specialty processes,2379.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
2379.TW,Realtek Semiconductor,005930.KS,Samsung Electronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,2379.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
2379.TW,Realtek Semiconductor,UMC,United Microelectronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,2379.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
2379.TW,Realtek Semiconductor,GFS,GlobalFoundries,uses foundry capacity,wafer fabrication / process nodes / specialty processes,2379.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
2379.TW,Realtek Semiconductor,TSEM,Tower Semiconductor,uses foundry capacity,wafer fabrication / process nodes / specialty processes,2379.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
2379.TW,Realtek Semiconductor,ASX,ASE Technology Holding,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",2379.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
2379.TW,Realtek Semiconductor,AMKR,Amkor Technology,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",2379.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
2379.TW,Realtek Semiconductor,BESI.AS,BE Semiconductor Industries,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",2379.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
2379.TW,Realtek Semiconductor,KLIC,Kulicke & Soffa,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",2379.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
2379.TW,Realtek Semiconductor,042700.KQ,Hanmi Semiconductor,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",2379.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
2379.TW,Realtek Semiconductor,ENTG,Entegris,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
2379.TW,Realtek Semiconductor,PLAB,Photronics,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
2379.TW,Realtek Semiconductor,6488.TWO,GlobalWafers,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
2379.TW,Realtek Semiconductor,3436.T,SUMCO,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
5274.TW,ASPEED Technology,TSM,Taiwan Semiconductor Manufacturing,uses foundry capacity,wafer fabrication / process nodes / specialty processes,5274.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
5274.TW,ASPEED Technology,005930.KS,Samsung Electronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,5274.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
5274.TW,ASPEED Technology,UMC,United Microelectronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,5274.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
5274.TW,ASPEED Technology,GFS,GlobalFoundries,uses foundry capacity,wafer fabrication / process nodes / specialty processes,5274.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
5274.TW,ASPEED Technology,TSEM,Tower Semiconductor,uses foundry capacity,wafer fabrication / process nodes / specialty processes,5274.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
5274.TW,ASPEED Technology,ASX,ASE Technology Holding,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",5274.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
5274.TW,ASPEED Technology,AMKR,Amkor Technology,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",5274.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
5274.TW,ASPEED Technology,BESI.AS,BE Semiconductor Industries,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",5274.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
5274.TW,ASPEED Technology,KLIC,Kulicke & Soffa,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",5274.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
5274.TW,ASPEED Technology,042700.KQ,Hanmi Semiconductor,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",5274.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
5274.TW,ASPEED Technology,ENTG,Entegris,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
5274.TW,ASPEED Technology,PLAB,Photronics,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
5274.TW,ASPEED Technology,6488.TWO,GlobalWafers,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
5274.TW,ASPEED Technology,3436.T,SUMCO,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
3661.TW,Alchip Technologies,TSM,Taiwan Semiconductor Manufacturing,uses foundry capacity,wafer fabrication / process nodes / specialty processes,3661.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
3661.TW,Alchip Technologies,005930.KS,Samsung Electronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,3661.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
3661.TW,Alchip Technologies,UMC,United Microelectronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,3661.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
3661.TW,Alchip Technologies,GFS,GlobalFoundries,uses foundry capacity,wafer fabrication / process nodes / specialty processes,3661.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
3661.TW,Alchip Technologies,TSEM,Tower Semiconductor,uses foundry capacity,wafer fabrication / process nodes / specialty processes,3661.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
3661.TW,Alchip Technologies,ASX,ASE Technology Holding,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",3661.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
3661.TW,Alchip Technologies,AMKR,Amkor Technology,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",3661.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
3661.TW,Alchip Technologies,BESI.AS,BE Semiconductor Industries,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",3661.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
3661.TW,Alchip Technologies,KLIC,Kulicke & Soffa,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",3661.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
3661.TW,Alchip Technologies,042700.KQ,Hanmi Semiconductor,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",3661.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
3661.TW,Alchip Technologies,000660.KS,SK hynix,uses memory ecosystem,"HBM/DRAM attached to accelerators, AI systems, or server platforms",system BOM cash flows toward memory suppliers,mostly undisclosed,NVIDIA/AMD/Micron/SK hynix disclosures + supply-chain map,medium
3661.TW,Alchip Technologies,MU,Micron Technology,uses memory ecosystem,"HBM/DRAM attached to accelerators, AI systems, or server platforms",system BOM cash flows toward memory suppliers,mostly undisclosed,NVIDIA/AMD/Micron/SK hynix disclosures + supply-chain map,medium
3661.TW,Alchip Technologies,005930.KS,Samsung Electronics,uses memory ecosystem,"HBM/DRAM attached to accelerators, AI systems, or server platforms",system BOM cash flows toward memory suppliers,mostly undisclosed,NVIDIA/AMD/Micron/SK hynix disclosures + supply-chain map,medium
3661.TW,Alchip Technologies,TER,Teradyne,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
3661.TW,Alchip Technologies,6857.T,Advantest,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
3661.TW,Alchip Technologies,ONTO,Onto Innovation,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
3661.TW,Alchip Technologies,FORM,FormFactor,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
3661.TW,Alchip Technologies,AEHR,Aehr Test Systems,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
3443.TW,Global Unichip,TSM,Taiwan Semiconductor Manufacturing,uses foundry capacity,wafer fabrication / process nodes / specialty processes,3443.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
3443.TW,Global Unichip,005930.KS,Samsung Electronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,3443.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
3443.TW,Global Unichip,UMC,United Microelectronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,3443.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
3443.TW,Global Unichip,GFS,GlobalFoundries,uses foundry capacity,wafer fabrication / process nodes / specialty processes,3443.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
3443.TW,Global Unichip,TSEM,Tower Semiconductor,uses foundry capacity,wafer fabrication / process nodes / specialty processes,3443.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
3443.TW,Global Unichip,ASX,ASE Technology Holding,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",3443.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
3443.TW,Global Unichip,AMKR,Amkor Technology,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",3443.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
3443.TW,Global Unichip,BESI.AS,BE Semiconductor Industries,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",3443.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
3443.TW,Global Unichip,KLIC,Kulicke & Soffa,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",3443.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
3443.TW,Global Unichip,042700.KQ,Hanmi Semiconductor,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",3443.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
3443.TW,Global Unichip,000660.KS,SK hynix,uses memory ecosystem,"HBM/DRAM attached to accelerators, AI systems, or server platforms",system BOM cash flows toward memory suppliers,mostly undisclosed,NVIDIA/AMD/Micron/SK hynix disclosures + supply-chain map,medium
3443.TW,Global Unichip,MU,Micron Technology,uses memory ecosystem,"HBM/DRAM attached to accelerators, AI systems, or server platforms",system BOM cash flows toward memory suppliers,mostly undisclosed,NVIDIA/AMD/Micron/SK hynix disclosures + supply-chain map,medium
3443.TW,Global Unichip,005930.KS,Samsung Electronics,uses memory ecosystem,"HBM/DRAM attached to accelerators, AI systems, or server platforms",system BOM cash flows toward memory suppliers,mostly undisclosed,NVIDIA/AMD/Micron/SK hynix disclosures + supply-chain map,medium
3443.TW,Global Unichip,TER,Teradyne,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
3443.TW,Global Unichip,6857.T,Advantest,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
3443.TW,Global Unichip,ONTO,Onto Innovation,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
3443.TW,Global Unichip,FORM,FormFactor,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
3443.TW,Global Unichip,AEHR,Aehr Test Systems,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
4966.TW,Parade Technologies,TSM,Taiwan Semiconductor Manufacturing,uses foundry capacity,wafer fabrication / process nodes / specialty processes,4966.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
4966.TW,Parade Technologies,005930.KS,Samsung Electronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,4966.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
4966.TW,Parade Technologies,UMC,United Microelectronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,4966.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
4966.TW,Parade Technologies,GFS,GlobalFoundries,uses foundry capacity,wafer fabrication / process nodes / specialty processes,4966.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
4966.TW,Parade Technologies,TSEM,Tower Semiconductor,uses foundry capacity,wafer fabrication / process nodes / specialty processes,4966.TW pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
4966.TW,Parade Technologies,ASX,ASE Technology Holding,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",4966.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
4966.TW,Parade Technologies,AMKR,Amkor Technology,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",4966.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
4966.TW,Parade Technologies,BESI.AS,BE Semiconductor Industries,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",4966.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
4966.TW,Parade Technologies,KLIC,Kulicke & Soffa,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",4966.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
4966.TW,Parade Technologies,042700.KQ,Hanmi Semiconductor,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",4966.TW pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
4966.TW,Parade Technologies,ENTG,Entegris,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
4966.TW,Parade Technologies,PLAB,Photronics,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
4966.TW,Parade Technologies,6488.TWO,GlobalWafers,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
4966.TW,Parade Technologies,3436.T,SUMCO,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
6723.T,Renesas Electronics,TSM,Taiwan Semiconductor Manufacturing,uses foundry capacity,wafer fabrication / process nodes / specialty processes,6723.T pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
6723.T,Renesas Electronics,005930.KS,Samsung Electronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,6723.T pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
6723.T,Renesas Electronics,UMC,United Microelectronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,6723.T pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
6723.T,Renesas Electronics,GFS,GlobalFoundries,uses foundry capacity,wafer fabrication / process nodes / specialty processes,6723.T pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
6723.T,Renesas Electronics,TSEM,Tower Semiconductor,uses foundry capacity,wafer fabrication / process nodes / specialty processes,6723.T pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
6723.T,Renesas Electronics,ASX,ASE Technology Holding,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",6723.T pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
6723.T,Renesas Electronics,AMKR,Amkor Technology,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",6723.T pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
6723.T,Renesas Electronics,BESI.AS,BE Semiconductor Industries,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",6723.T pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
6723.T,Renesas Electronics,KLIC,Kulicke & Soffa,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",6723.T pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
6723.T,Renesas Electronics,042700.KQ,Hanmi Semiconductor,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",6723.T pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
6723.T,Renesas Electronics,ENTG,Entegris,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
6723.T,Renesas Electronics,PLAB,Photronics,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
6723.T,Renesas Electronics,6488.TWO,GlobalWafers,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
6723.T,Renesas Electronics,3436.T,SUMCO,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
6963.T,Rohm,TSM,Taiwan Semiconductor Manufacturing,uses foundry capacity,wafer fabrication / process nodes / specialty processes,6963.T pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
6963.T,Rohm,005930.KS,Samsung Electronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,6963.T pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
6963.T,Rohm,UMC,United Microelectronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,6963.T pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
6963.T,Rohm,GFS,GlobalFoundries,uses foundry capacity,wafer fabrication / process nodes / specialty processes,6963.T pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
6963.T,Rohm,TSEM,Tower Semiconductor,uses foundry capacity,wafer fabrication / process nodes / specialty processes,6963.T pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
6963.T,Rohm,ASX,ASE Technology Holding,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",6963.T pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
6963.T,Rohm,AMKR,Amkor Technology,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",6963.T pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
6963.T,Rohm,BESI.AS,BE Semiconductor Industries,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",6963.T pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
6963.T,Rohm,KLIC,Kulicke & Soffa,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",6963.T pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
6963.T,Rohm,042700.KQ,Hanmi Semiconductor,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",6963.T pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
6963.T,Rohm,ENTG,Entegris,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
6963.T,Rohm,PLAB,Photronics,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
6963.T,Rohm,6488.TWO,GlobalWafers,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
6963.T,Rohm,3436.T,SUMCO,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
6526.T,Socionext,TSM,Taiwan Semiconductor Manufacturing,uses foundry capacity,wafer fabrication / process nodes / specialty processes,6526.T pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
6526.T,Socionext,005930.KS,Samsung Electronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,6526.T pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
6526.T,Socionext,UMC,United Microelectronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,6526.T pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
6526.T,Socionext,GFS,GlobalFoundries,uses foundry capacity,wafer fabrication / process nodes / specialty processes,6526.T pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
6526.T,Socionext,TSEM,Tower Semiconductor,uses foundry capacity,wafer fabrication / process nodes / specialty processes,6526.T pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
6526.T,Socionext,ASX,ASE Technology Holding,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",6526.T pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
6526.T,Socionext,AMKR,Amkor Technology,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",6526.T pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
6526.T,Socionext,BESI.AS,BE Semiconductor Industries,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",6526.T pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
6526.T,Socionext,KLIC,Kulicke & Soffa,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",6526.T pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
6526.T,Socionext,042700.KQ,Hanmi Semiconductor,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",6526.T pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
6526.T,Socionext,000660.KS,SK hynix,uses memory ecosystem,"HBM/DRAM attached to accelerators, AI systems, or server platforms",system BOM cash flows toward memory suppliers,mostly undisclosed,NVIDIA/AMD/Micron/SK hynix disclosures + supply-chain map,medium
6526.T,Socionext,MU,Micron Technology,uses memory ecosystem,"HBM/DRAM attached to accelerators, AI systems, or server platforms",system BOM cash flows toward memory suppliers,mostly undisclosed,NVIDIA/AMD/Micron/SK hynix disclosures + supply-chain map,medium
6526.T,Socionext,005930.KS,Samsung Electronics,uses memory ecosystem,"HBM/DRAM attached to accelerators, AI systems, or server platforms",system BOM cash flows toward memory suppliers,mostly undisclosed,NVIDIA/AMD/Micron/SK hynix disclosures + supply-chain map,medium
6526.T,Socionext,TER,Teradyne,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
6526.T,Socionext,6857.T,Advantest,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
6526.T,Socionext,ONTO,Onto Innovation,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
6526.T,Socionext,FORM,FormFactor,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
6526.T,Socionext,AEHR,Aehr Test Systems,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
108320.KS,LX Semicon,TSM,Taiwan Semiconductor Manufacturing,uses foundry capacity,wafer fabrication / process nodes / specialty processes,108320.KS pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
108320.KS,LX Semicon,005930.KS,Samsung Electronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,108320.KS pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
108320.KS,LX Semicon,UMC,United Microelectronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,108320.KS pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
