rank,symbol,name,region,country,exchange,tier,alpha_score,price,market_cap,pe,alpha_reason,connection_count,latest_price,latest_currency,latest_market_cap_usd,latest_market_cap_b_usd,latest_ytd_return_pct,market_data_as_of,market_data_source,market_adjusted_score,market_adjusted_rank,market_adjustment_reason
82,2408.TW,Nanya Technology,Non-US,Taiwan,TWSE,memory,49,,,,"HBM/DRAM tightness links directly to AI accelerator supply, but memory cycles and capex timing are major risks.",46,237.0,TWD,,,14.49,2026-05-04,https://finance.yahoo.com/quote/2408.TW/,49.00,76,source score 49; latest market cap unavailable
83,ADI,Analog Devices,US,United States,NASDAQ,analog / power / RF,49,397.69,195526674640,72.7,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,397.69,USD,194154000000.00,194.15,45.28,2026-05-04,https://finance.yahoo.com/quote/ADI/,44.00,87,source score 49; large-cap discovery penalty; moderate YTD repricing penalty
84,TXN,Texas Instruments,US,United States,NASDAQ,analog / power / RF,49,281.02,256852280000,48.04,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,280.95,USD,255691000000.00,255.69,58.26,2026-05-04,https://finance.yahoo.com/quote/TXN/,42.00,95,source score 49; megacap crowding penalty; moderate YTD repricing penalty
85,2344.TW,Winbond Electronics,Non-US,Taiwan,TWSE,memory,48,,,,"HBM/DRAM tightness links directly to AI accelerator supply, but memory cycles and capex timing are major risks.",40,95.4,TWD,,,5.07,2026-05-04,https://finance.yahoo.com/quote/2344.TW/,48.00,81,source score 48; latest market cap unavailable
86,POWI,Power Integrations,US,United States,NASDAQ,analog / power / RF,48,73.32,4090962720,244.4,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,73.32,USD,4084000000.00,4.08,96.57,2026-05-04,https://finance.yahoo.com/quote/POWI/,46.00,85,source score 48; smaller-cap optionality credit; moderate YTD repricing penalty; high multiple haircut
87,6770.TW,Powerchip Semiconductor Manufacturing,Non-US,Taiwan,TWSE,memory,47,,,,"HBM/DRAM tightness links directly to AI accelerator supply, but memory cycles and capex timing are major risks.",20,53.1,TWD,7706292000.00,7.71,26.13,2026-05-04,https://finance.yahoo.com/quote/6770.TW/,48.50,77,source score 47; smaller-cap optionality credit
88,MXL,MaxLinear,US,United States,NASDAQ,analog / power / RF,47,77.18,6760582100,-50.78,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,77.18,USD,6911000000.00,6.91,316.96,2026-05-04,https://finance.yahoo.com/quote/MXL/,41.50,96,source score 47; smaller-cap optionality credit; extreme YTD repricing penalty
89,ON,ON Semiconductor,US,United States,NASDAQ,analog / power / RF,47,103.03,42036240000,133.81,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,103.03,USD,39651000000.00,39.65,81.71,2026-05-04,https://finance.yahoo.com/quote/ON/,44.00,88,source score 47; mid-cap optionality credit; moderate YTD repricing penalty; high multiple haircut
90,2337.TW,Macronix International,Non-US,Taiwan,TWSE,memory,46,,,,"HBM/DRAM tightness links directly to AI accelerator supply, but memory cycles and capex timing are major risks.",40,154.5,TWD,,,256.4,2026-05-04,https://finance.yahoo.com/quote/2337.TW/,39.00,99,source score 46; latest market cap unavailable; extreme YTD repricing penalty
91,MCHP,Microchip Technology,US,United States,NASDAQ,analog / power / RF,46,93.95,51249725000,-323.97,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,93.95,USD,50840000000.00,50.84,44.47,2026-05-04,https://finance.yahoo.com/quote/MCHP/,43.00,92,source score 46; mid/large-cap valuation haircut; moderate YTD repricing penalty
92,SLAB,Silicon Labs,US,United States,NASDAQ,analog / power / RF,46,218.24,7165910400,-82.98,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,218.24,USD,,,65.42,2026-05-04,https://finance.yahoo.com/quote/SLAB/,44.00,89,source score 46; latest market cap unavailable; moderate YTD repricing penalty
93,AEHR,Aehr Test Systems,US,United States,NASDAQ,wafer fab equipment,45,93.07,2856783650,-244.92,levered to AI-driven fab and HBM capacity additions; upside depends on order timing and export-control risk.,38,93.07,USD,2927000000.00,2.93,319.99,2026-05-04,https://finance.yahoo.com/quote/AEHR/,39.50,98,source score 45; smaller-cap optionality credit; extreme YTD repricing penalty
94,DIOD,Diodes Inc.,US,United States,NASDAQ,analog / power / RF,45,108.24,5026340880,78.43,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,108.24,USD,4803000000.00,4.80,110.46,2026-05-04,https://finance.yahoo.com/quote/DIOD/,42.50,93,source score 45; smaller-cap optionality credit; major YTD repricing penalty
95,INTC,Intel,US,United States,NASDAQ,foundry,44,99.62,506368460000,-166.03,"manufacturing tollgate in AI supply, with score influenced by pricing power, technology node, and geopolitical risk.",42,99.61,USD,474856000000.00,474.86,152.95,2026-05-04,https://finance.yahoo.com/quote/INTC/,35.00,100,source score 44; megacap crowding penalty; major YTD repricing penalty
96,QRVO,Qorvo,US,United States,NASDAQ,analog / power / RF,44,93.5,8748888500,25.76,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,93.5,USD,8668000000.00,8.67,8.38,2026-05-04,https://finance.yahoo.com/quote/QRVO/,45.50,86,source score 44; smaller-cap optionality credit
97,ALGM,Allegro MicroSystems,US,United States,NASDAQ,analog / power / RF,43,48.98,9489783407,,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,48.98,USD,,,82.01,2026-05-04,https://finance.yahoo.com/quote/ALGM/,41.00,97,source score 43; latest market cap unavailable; moderate YTD repricing penalty
98,SWKS,Skyworks Solutions,US,United States,NASDAQ,analog / power / RF,43,69.4,10444700000,26.59,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,69.4,USD,10438000000.00,10.44,7.76,2026-05-04,https://finance.yahoo.com/quote/SWKS/,43.50,90,source score 43; mid-cap optionality credit
99,CRUS,Cirrus Logic,US,United States,NASDAQ,analog / power / RF,42,164.24,8655119520,21.67,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,164.24,USD,8273000000.00,8.27,37.24,2026-05-04,https://finance.yahoo.com/quote/CRUS/,43.50,91,source score 42; smaller-cap optionality credit
100,INDI,indie Semiconductor,US,United States,NASDAQ,analog / power / RF,41,4.39,875041777,-5.85,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,4.39,USD,924919000.00,0.92,18.65,2026-05-04,https://finance.yahoo.com/quote/INDI/,42.50,94,source score 41; smaller-cap optionality credit
