Region,Rank in Region,Ticker,Company,Country,Exchange,Alpha Score,Theme,Current AI Chain Risk,Evidence Confidence,Latent Fit,Discovery Gap,Valuation Setup,Catalyst Density,Execution/Quality,Hype Penalty,Market Cap USD bn,PE Ratio,Market Cap Tier,Latent AI Pathway,Current AI Supply-Chain Screen,Valuation Note,Source URL,Bucket,Latest Price,Latest Currency,Latest Market Cap USD,Latest Market Cap USD bn,Latest YTD Return %,Market Data As Of,Market Data Source,Base Alpha Score,Price Rerating Penalty Score,AI2027 Price Adjusted Score,AI2027 Trend Bonus Score,AI2027 Trend Tags,AI2027 Trend Note
Non-US,23,NMAN.ST,Nederman,Sweden,Nasdaq Stockholm,70.9,Air filtration,Low,High,17,18,14,12,8,1,0.462,,Small/mid,Industrial air filtration and extraction could matter for fabrication-adjacent workshops and facility cleanliness without fab exposure,No direct AI/fab/data-center evidence found; industrial air filtration.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.nederman.com/,Filtration / safety,127.8,SEK,461880570.04,0.462,-22.55,2026-06-23,https://finance.yahoo.com/quote/NMAN.ST/,68.0,0.0,68.0,2.9,,AI 2027/current overlay: no direct factor; bonus +2.9 after cap/YTD discipline.
Non-US,24,KRN.DE,Krones,Germany,Xetra,70.8,Packaging automation,Low,High,16,15,14,11,10,1,4.085,,Mid,High-throughput automation and process engineering could be adapted to precision assembly/inspection cells,No direct AI infrastructure/fab evidence found; packaging and bottling process technology.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.krones.com/,Manufacturing / tooling,114.2,EUR,4084969044.7,4.085,-16.03,2026-06-23,https://finance.yahoo.com/quote/KRN.DE/,65.0,0.0,65.0,5.8,packaging_memory_test,AI 2027/current overlay: packaging_memory_test; bonus +5.8 after cap/YTD discipline.
US,23,NSSC,NAPCO Security Technologies,United States,NASDAQ,70.8,Physical security,Low,High,15,18,14,11,9,1,1.366,,,"Access control, alarms and locking systems could serve higher-security compute campuses/edge sites without being core AI hardware",No direct AI infrastructure supplier evidence found; security and locking systems.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.napcosecurity.com/,Security / safety,38.21,USD,1366000000.0,1.366,-7.66,2026-06-23,https://finance.yahoo.com/quote/NSSC/,66.0,0.0,66.0,4.8,security_sovereign,AI 2027/current overlay: security_sovereign; bonus +4.8 after cap/YTD discipline.
US,24,ASIX,AdvanSix,United States,NYSE,70.5,Specialty chemicals,Low,High,14,19,20,10,7,1,0.525,13.0363,,"Nylon, caprolactam and ammonium sulfate chemistry could be adapted to industrial materials and manufacturing inputs",No direct AI infrastructure evidence found; diversified chemicals.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.advansix.com/,Materials / chemicals,19.52,USD,525162021.0,0.525,13.36,2026-06-23,https://finance.yahoo.com/quote/ASIX/,69.0,0.0,69.0,1.5,,AI 2027/current overlay: no direct factor; bonus +1.5 after cap/YTD discipline.
US,25,AIN,Albany International,United States,NYSE,70.5,Advanced fabrics/composites,Low,High,18,18,14,13,9,1,2.035,-31.0255,,"Engineered fabrics and aerospace composites could be applied to lightweight structures, filtration media, and manufacturing process materials",No direct AI/data-center/fab evidence found; aerospace and machine clothing focus.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.albint.com/,Materials / chemicals,70.865,USD,2035000000.0,2.035,35.39,2026-06-23,https://finance.yahoo.com/quote/AIN/,69.5,0.0,69.5,1.0,,AI 2027/current overlay: no direct factor; bonus +1.0 after cap/YTD discipline.
US,26,DCI,Donaldson,United States,NYSE,70.5,Filtration,Medium,High,20,14,14,12,12,4,9.963,27.3938,,"Air/liquid filtration could extend into coolant cleanliness, facility air quality, and industrial process protection",No direct AI build-out evidence found; filtration across industrial/mobile/aerospace/life sciences.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.donaldson.com/,Filtration / safety,85.38,USD,9963000000.0,9.963,-5.06,2026-06-23,https://finance.yahoo.com/quote/DCI/,69.2,0.0,69.2,1.3,,AI 2027/current overlay: no direct factor; bonus +1.3 after cap/YTD discipline.
US,27,UFPI,UFP Industries,United States,NASDAQ,70.3,Construction/packaging materials,Low,High,13,17,20,9,10,0,4.832,15.5749,,"Packaging, wood/composite and construction products could support modular industrial expansion and logistics","No direct AI infrastructure supplier evidence found; packaging, construction and retail products.","Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.ufpi.com/,Industrial equipment,85.0,USD,4832000000.0,4.832,-7.79,2026-06-23,https://finance.yahoo.com/quote/UFPI/,69.0,0.0,69.0,1.3,,AI 2027/current overlay: no direct factor; bonus +1.3 after cap/YTD discipline.
Non-US,25,ATS.TO,ATS Corporation,Canada,TSX,70.0,Factory automation,Medium,Medium,20,16,14,14,9,4,2.696,,Mid,"Custom automation for life sciences, energy and transport could become a platform for AI-hardware adjacent assembly lines","Official 2026-facing pages emphasize life sciences, food & beverage, transportation, consumer products and energy; no direct AI infra supplier evidence found.",Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://atsautomation.com/,Manufacturing / tooling,39.06,CAD,2696424792.14,2.696,1.96,2026-06-23,https://finance.yahoo.com/quote/ATS.TO/,69.0,0.0,69.0,1.0,,AI 2027/current overlay: no direct factor; bonus +1.0 after cap/YTD discipline.
Non-US,26,KARN.SW,Kardex,Switzerland,SIX,69.9,Intralogistics,Low,High,16,15,13,12,10,1,2.218,,Mid,Automated storage/retrieval could support secure parts logistics and robotics-enabled facilities,No direct AI infrastructure evidence found; intralogistics automation.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.kardex.com/,Industrial equipment,230.0,CHF,2218253264.49,2.218,-18.44,2026-06-23,https://finance.yahoo.com/quote/KARN.SW/,64.3,0.0,64.3,5.6,physical_ai,AI 2027/current overlay: physical_ai; bonus +5.6 after cap/YTD discipline.
Non-US,27,UMIC.BR,Umicore,Belgium,Euronext Brussels,69.9,Battery/recycling materials,Medium,Medium,18,15,14,13,9,4,,,Mid/large,Battery materials and recycling could become relevant to backup power and metal circularity without being current AI hardware,No direct AI data-center/fab supplier evidence found; battery materials/catalysis/recycling.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.umicore.com/,Recycling / critical materials,,,,,,,,64.4,0.0,64.4,5.5,power_grid,AI 2027/current overlay: power_grid; bonus +5.5 after cap/YTD discipline.
US,28,LECO,Lincoln Electric,United States,NYSE,69.8,Welding/automation,Low,High,17,12,13,13,12,1,15.002,28.3684,,Welding automation and additive manufacturing know-how could support heavy fabrication for compute campuses and robot factories,No direct AI infrastructure evidence found; welding/cutting/automation focus.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.lincolnelectric.com/,Manufacturing / tooling,273.625,USD,15002000000.0,15.002,12.25,2026-06-23,https://finance.yahoo.com/quote/LECO/,66.0,0.0,66.0,3.8,physical_ai,AI 2027/current overlay: physical_ai; bonus +3.8 after cap/YTD discipline.
US,29,CR,Crane Company,United States,NYSE,69.8,Aerospace/flow systems,Medium,Medium,20,12,12,12,12,3,12.41,32.605,,"Aerospace electronics, sensing, fluid management and valves could cross-pollinate into high-reliability cooling/control niches","No direct AI infrastructure evidence found; aerospace, defense, flow technologies and critical industries.","Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.craneco.com/,Sensors / electronics,216.125,USD,12410000000.0,12.41,15.25,2026-06-23,https://finance.yahoo.com/quote/CR/,64.3,0.0,64.3,5.5,power_grid,AI 2027/current overlay: power_grid; bonus +5.5 after cap/YTD discipline.
US,30,AOS,A. O. Smith,United States,NYSE,69.6,Water heating/treatment,Low,High,17,13,18,10,12,1,8.012,16.2827,,"Water heating, boilers and treatment could be relevant for heat reuse, facility water treatment or industrial campuses",No direct AI/data-center supplier positioning found; water heating/treatment focus.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.aosmith.com/,Water / fluid systems,57.995,USD,8012000000.0,8.012,-15.11,2026-06-23,https://finance.yahoo.com/quote/AOS/,68.3,0.0,68.3,1.3,,AI 2027/current overlay: no direct factor; bonus +1.3 after cap/YTD discipline.
Non-US,28,PAL.VI,Palfinger,Austria,Vienna,69.6,Lifting/robotic handling,Low,High,15,17,14,10,9,1,1.429,,Mid,"Lifting systems could support modular infrastructure, maintenance robotics and industrial logistics",No direct AI build-out evidence found; lifting and handling solutions.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.palfinger.com/,Industrial equipment,32.6,EUR,1429140784.71,1.429,-3.55,2026-06-23,https://finance.yahoo.com/quote/PAL.VI/,64.0,0.0,64.0,5.6,physical_ai,AI 2027/current overlay: physical_ai; bonus +5.6 after cap/YTD discipline.
US,31,TRS,TriMas,United States,NASDAQ,69.2,Aerospace/packaging components,Low,Medium,16,18,20,11,8,1,1.584,1.7301,,"Specialty fasteners, aerospace components and closures could be redirected toward precision mechanical subassemblies",No direct AI build-out/fab evidence found; packaging/aerospace/specialty products.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.trimascorp.com/,Industrial equipment,44.13,USD,1584000000.0,1.584,21.6,2026-06-23,https://finance.yahoo.com/quote/TRS/,68.2,0.0,68.2,1.0,,AI 2027/current overlay: no direct factor; bonus +1.0 after cap/YTD discipline.
Non-US,29,ANDR.VI,Andritz,Austria,Vienna,69.0,Process/hydro systems,Medium,Medium,18,13,13,13,10,4,8.879,,Large,"Hydro, pumps, process automation and industrial systems could help constrained power/water ecosystems outside direct AI hardware","No direct AI supplier evidence found; hydro, pulp, metals and separation technologies.",Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.andritz.com/,Industrial equipment,79.2,EUR,8878761295.08,8.879,18.65,2026-06-23,https://finance.yahoo.com/quote/ANDR.VI/,63.0,0.0,63.0,6.0,power_grid,AI 2027/current overlay: power_grid; bonus +6.0 after cap/YTD discipline.
US,32,ALG,Alamo Group,United States,NYSE,68.8,Specialty equipment,Low,High,14,18,17,9,9,0,1.96,20.4366,,"Vegetation, infrastructure-maintenance and industrial equipment could support rights-of-way and physical build-out adjacent work",No direct AI supply-chain evidence found; vegetation and industrial equipment.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.alamo-group.com/,Industrial equipment,161.34,USD,1959711640.0,1.96,-5.33,2026-06-23,https://finance.yahoo.com/quote/ALG/,67.0,0.0,67.0,1.8,,AI 2027/current overlay: no direct factor; bonus +1.8 after cap/YTD discipline.
Non-US,30,ALQ.AX,ALS,Australia,ASX,68.6,Testing/inspection,Low,High,16,15,13,12,10,1,8.038,,Mid/large,"Testing, certification and environmental analysis could verify coolants, water quality, materials and emissions for new infrastructure","No direct AI supply-chain evidence found; testing, inspection and certification services.",Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.alsglobal.com/,Services / testing,22.61,AUD,8038494200.0,8.038,2.49,2026-06-23,https://finance.yahoo.com/quote/ALQ.AX/,63.6,0.0,63.6,5.0,packaging_memory_test,AI 2027/current overlay: packaging_memory_test; bonus +5.0 after cap/YTD discipline.
Non-US,31,GF.SW,Georg Fischer,Switzerland,SIX,68.6,Flow solutions,Medium,Medium,20,15,13,12,10,4,4.369,,Mid/large,Piping and flow solutions could map into industrial coolant/water networks if hyperscale standards spill into adjacent markets,"No direct AI infrastructure evidence found; flow solutions, casting and machining businesses.",Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.georgfischer.com/,Water / fluid systems,42.5,CHF,4369223489.55,4.369,-21.22,2026-06-23,https://finance.yahoo.com/quote/GF.SW/,66.7,0.0,66.7,1.9,,AI 2027/current overlay: no direct factor; bonus +1.9 after cap/YTD discipline.
US,33,VNT,Vontier,United States,NYSE,68.3,Mobility/industrial tech,Low,High,16,15,19,10,8,1,4.301,12.8352,,"Industrial mobility, sensing, fueling and environmental solutions could support energy-managed industrial campuses",No direct AI/data-center/fab evidence found; transportation/mobility and environmental solutions.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.vontier.com/,Industrial equipment,30.455,USD,4301000000.0,4.301,-19.43,2026-06-23,https://finance.yahoo.com/quote/VNT/,67.0,0.0,67.0,1.3,,AI 2027/current overlay: no direct factor; bonus +1.3 after cap/YTD discipline.
Non-US,32,ESNT.L,Essentra,United Kingdom,LSE,68.3,Industrial components,Low,High,15,19,16,10,7,1,0.307,,Small,"A catalogue of components, caps, fasteners and protection products could matter in modular hardware/facility supply chains",No direct AI infrastructure evidence found; broad industrial components.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.essentra.com/,Industrial equipment,82.4,GBp,306711125.47,0.307,-14.17,2026-06-23,https://finance.yahoo.com/quote/ESNT.L/,66.0,0.0,66.0,2.3,,AI 2027/current overlay: no direct factor; bonus +2.3 after cap/YTD discipline.
Non-US,33,HILS.L,Hill & Smith,United Kingdom,LSE,68.3,Infrastructure/galvanizing,Low,High,16,17,14,12,10,1,2.949,,Mid,Galvanizing and engineered infrastructure products could support physical-network and facility hardening,No direct AI-data-center supplier evidence found; engineered infrastructure products.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.hsgplc.co.uk/,Materials / chemicals,2805.0,GBp,2948836800.0,2.949,30.16,2026-06-23,https://finance.yahoo.com/quote/HILS.L/,67.3,0.0,67.3,1.0,,AI 2027/current overlay: no direct factor; bonus +1.0 after cap/YTD discipline.
US,34,WTS,Watts Water Technologies,United States,NYSE,68.0,Flow/water safety,Medium,High,22,14,12,13,12,5,11.687,30.1331,,"Valves, backflow prevention, drainage, water quality and HVAC/hot water controls could be adapted for high-density facility water management",No direct AI build-out mention found in spot checks; products are broad plumbing/flow/water quality solutions.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.watts.com/,Water / fluid systems,348.98,USD,11687000000.0,11.687,25.27,2026-06-23,https://finance.yahoo.com/quote/WTS/,68.0,0.0,68.0,0.0,,AI 2027/current overlay: no direct factor; bonus +0.0 after cap/YTD discipline.
US,35,PRLB,Proto Labs,United States,NYSE,67.8,Digital manufacturing,Low,Medium,19,17,8,13,9,2,1.914,64.9906,,Rapid manufacturing could prototype custom thermal/mechanical parts before incumbent supply chains develop,No direct AI supply-chain positioning found; quick-turn digital manufacturing focus.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.protolabs.com/,Manufacturing / tooling,80.46,USD,1914000000.0,1.914,56.69,2026-06-23,https://finance.yahoo.com/quote/PRLB/,63.3,0.0,63.3,4.5,power_grid,AI 2027/current overlay: power_grid; bonus +4.5 after cap/YTD discipline.
Non-US,34,RWC.AX,Reliance Worldwide,Australia,ASX,67.8,Plumbing/flow control,Medium,High,18,16,14,12,9,3,1.843,,Mid,"Plumbing, pipe fittings and flow-control products could support water loops and rapid facility construction",No direct AI data-center supplier evidence found; plumbing and water-control products.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.rwc.com/,Water / fluid systems,3.56,AUD,1842542240.0,1.843,-7.53,2026-06-23,https://finance.yahoo.com/quote/RWC.AX/,66.0,0.0,66.0,1.8,,AI 2027/current overlay: no direct factor; bonus +1.8 after cap/YTD discipline.
US,36,TNC,Tennant,United States,NASDAQ,67.6,Autonomous cleaning/industrial robotics,Low,Medium,16,18,8,12,8,1,1.536,51.9167,,Industrial cleaning machines and autonomous floor-cleaning platforms could evolve into facility robotics for high-security campuses,No direct AI infrastructure supplier evidence found; cleaning equipment and robotics focus.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.tennantco.com/,Industrial equipment,88.79,USD,1536057105.0,1.536,20.05,2026-06-23,https://finance.yahoo.com/quote/TNC/,59.8,0.0,59.8,7.8,"physical_ai,security_sovereign","AI 2027/current overlay: physical_ai,security_sovereign; bonus +7.8 after cap/YTD discipline."
US,37,MATW,Matthews International,United States,NASDAQ,67.5,Industrial tech/energy storage,Low,Medium,17,20,7,12,6,1,0.816,90.5484,,"Industrial technologies, marking and energy-storage process work could offer optionality in manufacturing infrastructure",No direct AI supply-chain positioning found; diversified memorial/industrial/brand solutions.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.matw.com/,Industrial equipment,26.12,USD,815944000.0,0.816,0.73,2026-06-23,https://finance.yahoo.com/quote/MATW/,61.0,0.0,61.0,6.5,power_grid,AI 2027/current overlay: power_grid; bonus +6.5 after cap/YTD discipline.
US,38,FSS,Federal Signal,United States,NYSE,67.5,Safety/industrial systems,Low,High,16,15,14,12,11,1,7.23,28.3227,,"Emergency warning, environmental and safety equipment could serve AI campuses, autonomous operations and critical sites",No direct AI infrastructure supplier evidence found; municipal/industrial safety and environmental systems.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.federalsignal.com/,Other,118.9,USD,7230000000.0,7.23,6.69,2026-06-23,https://finance.yahoo.com/quote/FSS/,67.0,0.0,67.0,0.5,,AI 2027/current overlay: no direct factor; bonus +0.5 after cap/YTD discipline.
US,39,CNM,Core & Main,United States,NYSE,67.4,Waterworks distribution,Low,High,18,14,13,12,10,1,9.055,,,Waterworks distribution and smart utility offerings could matter as AI campuses strain water infrastructure,No direct AI/data-center supplier evidence found; water/wastewater/stormwater infrastructure distributor.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://coreandmain.com/,Distribution / MRO,46.725,USD,9055000000.0,9.055,-12.52,2026-06-23,https://finance.yahoo.com/quote/CNM/,66.1,0.0,66.1,1.3,,AI 2027/current overlay: no direct factor; bonus +1.3 after cap/YTD discipline.
US,40,HXL,Hexcel,United States,NYSE,67.2,Composites,Low,Medium,18,13,7,12,10,2,7.364,63.894,,"Carbon fiber and lightweight composites could enable advanced robotics, aerospace compute platforms and thermal/mechanical structures",No direct AI infrastructure evidence found; aerospace/industrial composites focus.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.hexcel.com/,Materials / chemicals,97.7,USD,7364000000.0,7.364,27.08,2026-06-23,https://finance.yahoo.com/quote/HXL/,57.4,0.0,57.4,9.8,"physical_ai,power_grid","AI 2027/current overlay: physical_ai,power_grid; bonus +9.8 after cap/YTD discipline."
US,41,OSK,Oshkosh,United States,NYSE,67.1,Specialty vehicles/electrification,Low,High,15,12,19,11,10,1,8.896,15.2888,,"Electrified, autonomous and specialty platforms could map to physical logistics and construction of new compute infrastructure",No direct AI supply-chain revenue evidence found; specialty vehicles/defense/fire/access equipment.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.oshkoshcorp.com/,Industrial equipment,142.055,USD,8896000000.0,8.896,7.44,2026-06-23,https://finance.yahoo.com/quote/OSK/,66.6,0.0,66.6,0.5,,AI 2027/current overlay: no direct factor; bonus +0.5 after cap/YTD discipline.
Non-US,35,BOSN.SW,Bossard,Switzerland,SIX,67.1,Fastener logistics,Low,High,15,17,13,10,9,1,1.86,,Mid,Fastener distribution and engineering could aggregate hidden demand for modular enclosures and robotic equipment,No direct AI infrastructure evidence found; fastening and logistics services.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.bossard.com/,Distribution / MRO,196.0,CHF,1859511271.85,1.86,25.64,2026-06-23,https://finance.yahoo.com/quote/BOSN.SW/,62.3,0.0,62.3,4.8,physical_ai,AI 2027/current overlay: physical_ai; bonus +4.8 after cap/YTD discipline.
Non-US,36,BRG.OL,Borregaard,Norway,Oslo,67.0,Bio-based specialty chemicals,Low,High,15,17,14,10,9,1,1.471,,Mid,"Biopolymers and specialty cellulose could be used in binders, dispersants or sustainable process chemistry",No direct AI infrastructure evidence found; bio-based specialty chemicals.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.borregaard.com/,Materials / chemicals,144.2,NOK,1471118936.12,1.471,-26.65,2026-06-23,https://finance.yahoo.com/quote/BRG.OL/,64.6,0.0,64.6,2.4,,AI 2027/current overlay: no direct factor; bonus +2.4 after cap/YTD discipline.
Non-US,37,BEKB.BR,Bekaert,Belgium,Euronext Brussels,67.0,Steel wire/materials,Low,High,16,16,15,11,9,1,2.242,,Mid,"Advanced steel wire and reinforcement materials could support electrification, enclosures and industrial construction",No direct AI supply-chain supplier evidence found; steel wire transformation and coatings.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.bekaert.com/,Materials / chemicals,40.8,EUR,2242254000.0,2.242,5.29,2026-06-23,https://finance.yahoo.com/quote/BEKB.BR/,66.0,0.0,66.0,1.0,,AI 2027/current overlay: no direct factor; bonus +1.0 after cap/YTD discipline.
Non-US,38,DPLM.L,Diploma,United Kingdom,LSE,67.0,Seals/controls distribution,Medium,Medium,18,15,13,13,11,3,12.485,,Mid/large,"Seals, controls and life-science/industrial distribution could aggregate hard-to-source fluid-control components","No direct AI build-out supplier evidence found; distribution into controls, seals and life sciences.",Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.diplomaplc.com/,Distribution / MRO,7090.0,GBp,12485079600.0,12.485,33.9,2026-06-23,https://finance.yahoo.com/quote/DPLM.L/,67.0,0.0,67.0,0.0,,AI 2027/current overlay: no direct factor; bonus +0.0 after cap/YTD discipline.
Non-US,39,SGM.AX,Sims,Australia,ASX,66.6,Metal recycling,Low,High,16,18,15,12,8,1,3.685,,Mid,"Metal recycling could capture circularity demand as AI hardware, cabling and facility materials scale",No direct AI supply-chain evidence found; metal recycling and circular materials.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.simsmm.com/,Recycling / critical materials,27.56,AUD,3684714301.73,3.685,51.26,2026-06-23,https://finance.yahoo.com/quote/SGM.AX/,68.1,0.0,68.1,-1.5,,AI 2027/current overlay: no direct factor; bonus -1.5 after cap/YTD discipline.
Non-US,40,WIE.VI,Wienerberger,Austria,Vienna,66.4,Pipes/building products,Low,High,15,16,14,11,9,1,2.936,,Mid,Piping and building envelope products could matter in water reuse and resilient industrial campuses,No direct AI infrastructure evidence found; building products and piping systems.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.wienerberger.com/,Industrial equipment,23.34,EUR,2935813977.83,2.936,-22.72,2026-06-23,https://finance.yahoo.com/quote/WIE.VI/,64.0,0.0,64.0,2.4,,AI 2027/current overlay: no direct factor; bonus +2.4 after cap/YTD discipline.
Non-US,41,TOM.OL,Tomra,Norway,Oslo,65.9,Sensor sorting/recycling,Low,Medium,17,14,12,12,10,2,2.941,,Mid/large,Sensor-based sorting and recycling could help recover metals/plastics as AI hardware cycles accelerate,No direct AI infrastructure evidence found; sorting and recycling technology.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.tomra.com/,Recycling / critical materials,95.2,NOK,2940591718.33,2.941,-30.26,2026-06-23,https://finance.yahoo.com/quote/TOM.OL/,63.5,0.0,63.5,2.4,,AI 2027/current overlay: no direct factor; bonus +2.4 after cap/YTD discipline.
US,42,ODC,Oil-Dri,United States,NYSE,65.9,Sorbents/minerals,Low,High,16,20,20,11,8,0,1.403,19.8889,,"Engineered clay minerals/sorbents could be relevant to filtration, humidity control, spill management and facility resilience",No direct AI supply-chain positioning found; absorbent minerals and products.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.oildri.com/,Materials / chemicals,96.3,USD,1403000000.0,1.403,98.76,2026-06-23,https://finance.yahoo.com/quote/ODC/,71.5,1.6,69.9,-4.0,,AI 2027/current overlay: no direct factor; bonus -4.0 after cap/YTD discipline.
Non-US,42,EPI-A.ST,Epiroc,Sweden,Nasdaq Stockholm,65.8,Mining automation,Low,Medium,16,12,12,12,12,2,32.23,,Large,Mining automation and equipment could benefit if AI metals demand pushes harder on productivity and autonomy,No direct AI supply-chain supplier evidence found; mining and infrastructure equipment.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.epirocgroup.com/,Industrial equipment,263.5,SEK,32230135600.0,32.23,25.36,2026-06-23,https://finance.yahoo.com/quote/EPI-A.ST/,63.2,0.0,63.2,2.6,physical_ai,AI 2027/current overlay: physical_ai; bonus +2.6 after cap/YTD discipline.
Non-US,43,RDX.AX,Redox,Australia,ASX,65.7,Chemical distribution,Medium,High,17,18,14,13,7,3,1.442,,Small/mid,"Chemical distribution could supply coolants, water-treatment chemistry and process inputs if new suppliers are needed",No direct AI infrastructure supplier evidence found; chemicals and ingredients distribution.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://redox.com/,Distribution / MRO,3.97,AUD,1442316244.82,1.442,29.32,2026-06-23,https://finance.yahoo.com/quote/RDX.AX/,64.7,0.0,64.7,1.0,,AI 2027/current overlay: no direct factor; bonus +1.0 after cap/YTD discipline.
Non-US,44,SFSN.SW,SFS Group,Switzerland,SIX,65.5,Precision fasteners,Low,High,16,16,13,11,10,1,6.39,,Mid,Precision fasteners and components could support compact mechanical assemblies and automation hardware,No direct AI supply-chain evidence found; fastening systems and precision components.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.sfs.com/,Industrial equipment,133.6,CHF,6390427735.54,6.39,18.02,2026-06-23,https://finance.yahoo.com/quote/SFSN.SW/,65.0,0.0,65.0,0.5,,AI 2027/current overlay: no direct factor; bonus +0.5 after cap/YTD discipline.
US,43,TEX,Terex,United States,NYSE,65.3,Lifting/material handling,Low,High,15,14,12,12,9,1,7.95,30.7368,,"Aerial work, cranes and material-handling gear could benefit from accelerated industrial construction and automated logistics",No direct AI-specific supplier evidence found; industrial equipment and materials processing.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.terex.com/,Industrial equipment,69.49,USD,7950000000.0,7.95,26.28,2026-06-23,https://finance.yahoo.com/quote/TEX/,61.0,0.0,61.0,4.3,physical_ai,AI 2027/current overlay: physical_ai; bonus +4.3 after cap/YTD discipline.
Non-US,45,SEM.VI,Semperit,Austria,Vienna,65.0,Elastomers/hoses,Medium,High,18,18,15,12,7,3,0.356,,Small/mid,"Industrial hoses and elastomer products could be adapted for fluid loops, sealing and vibration control",No direct AI supply-chain evidence found; elastomer products and industrial applications.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.semperitgroup.com/,Materials / chemicals,15.2,EUR,355933574.29,0.356,23.58,2026-06-23,https://finance.yahoo.com/quote/SEM.VI/,63.5,0.0,63.5,1.5,,AI 2027/current overlay: no direct factor; bonus +1.5 after cap/YTD discipline.
Non-US,46,BCVN.SW,Bucher Industries,Switzerland,SIX,64.0,Hydraulics/machinery,Low,High,15,16,15,10,9,1,12.561,,Mid,"Hydraulics and specialty machinery could support automated construction, industrial equipment and facility operations","No direct AI supply-chain evidence found; agricultural, hydraulic, glass and municipal machinery.",Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.bucherindustries.com/,Industrial equipment,118.0,CHF,12560669800.0,12.561,14.23,2026-06-23,https://finance.yahoo.com/quote/BCVN.SW/,64.0,0.0,64.0,0.0,,AI 2027/current overlay: no direct factor; bonus +0.0 after cap/YTD discipline.
US,44,MSM,MSC Industrial Direct,United States,NYSE,63.2,MRO distribution,Low,High,16,15,14,11,9,1,6.498,28.1528,,"MRO distribution could capture fragmented, non-glamorous parts demand as AI infrastructure suppliers stretch lead times",No direct AI-specific positioning found; broad industrial MRO distribution.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.mscdirect.com/,Distribution / MRO,116.46,USD,6498000000.0,6.498,35.67,2026-06-23,https://finance.yahoo.com/quote/MSM/,62.7,0.0,62.7,0.5,,AI 2027/current overlay: no direct factor; bonus +0.5 after cap/YTD discipline.
